CaseID,ActivityID,CompleteTimestamp,attribute1,attribute2,attribute3,attribute4,attribute5
Case No. 1,0,2018/07/06 10:54:15,0,0,0,0,0
Case No. 1,0,2018/07/06 10:54:15,0,0,0,0,0
Case No. 1,1,2018/07/06 10:58:24,0,0,0,0,0
Case No. 1,2,2018/07/06 11:21:06,1,0,1,0,0
Case No. 1,3,2018/07/06 11:30:32,2,0,0,0,0
Case No. 1,4,2018/07/06 11:59:14,2,0,2,0,0
Case No. 1,1,2018/07/06 12:10:10,2,1,1,0,1
Case No. 1,2,2018/07/06 12:18:37,1,0,2,1,0
Case No. 1,5,2018/07/06 12:31:31,1,1,3,0,2
Case No. 1,3,2018/07/06 12:39:35,1,0,2,0,0
Case No. 1,2,2018/07/06 12:47:00,1,0,2,1,0
Case No. 1,0,2018/07/06 12:54:29,1,0,0,0,0
Case No. 1,3,2018/07/06 13:12:38,1,0,0,0,0
Case No. 1,1,2018/07/06 13:22:03,1,2,0,0,0
Case No. 1,3,2018/07/06 13:23:50,1,0,0,0,0
Case No. 1,6,2018/07/06 13:24:29,1,0,0,0,0
Case No. 1,0,2018/07/06 13:30:43,2,0,0,0,0
Case No. 1,7,2018/07/06 13:46:00,3,2,0,0,1
Case No. 1,6,2018/07/06 14:08:10,0,0,0,1,0
Case No. 1,7,2018/07/06 14:49:32,2,0,0,0,0
Case No. 1,3,2018/07/06 14:52:19,1,0,0,0,0
Case No. 2,0,2018/07/06 14:58:48,0,0,1,2,0
Case No. 2,2,2018/07/06 15:00:04,1,0,1,0,0
Case No. 2,7,2018/07/06 15:17:58,1,0,0,0,0
Case No. 2,7,2018/07/06 15:26:02,0,0,0,0,0
Case No. 2,7,2018/07/06 15:55:09,1,0,0,0,0
Case No. 2,0,2018/07/06 15:57:24,1,0,0,0,0
Case No. 2,6,2018/07/06 16:00:00,0,0,0,0,1
Case No. 2,0,2018/07/06 16:01:06,0,0,0,0,0
Case No. 2,2,2018/07/06 16:22:21,2,0,1,0,0
Case No. 2,7,2018/07/06 16:38:56,0,0,0,1,0
Case No. 2,3,2018/07/06 17:02:05,0,0,0,0,0
Case No. 2,7,2018/07/06 17:14:06,2,0,0,2,0
Case No. 2,3,2018/07/06 17:26:27,0,0,0,0,0
