CaseID,ActivityID,CompleteTimestamp,GroupID
IM0000004,0,2013-01-07 08:17:17,0
IM0000004,0,2013-01-07 08:17:17,0
IM0000004,0,2013-11-04 13:41:30,1
IM0000004,1,2013-11-04 13:41:30,1
IM0000004,2,2013-11-04 12:09:37,2
IM0000004,3,2013-11-04 12:09:37,2
IM0000004,3,2013-11-04 13:41:30,1
IM0000004,4,2013-11-04 13:51:18,2
IM0000004,5,2013-11-04 13:51:18,2
IM0000004,0,2013-11-04 12:09:37,2
IM0000004,2,2013-09-25 08:27:40,2
IM0000005,6,2013-06-03 11:15:43,3
IM0000005,2,2013-04-03 11:29:46,2
IM0000005,0,2013-01-07 08:17:54,0
IM0000005,2,2013-09-05 08:58:58,2
IM0000005,2,2013-04-12 11:03:27,2
IM0000005,7,2013-04-23 08:22:09,2
IM0000005,1,2013-12-02 12:00:07,1
IM0000005,0,2013-12-02 12:32:10,1
IM0000005,3,2013-12-02 12:32:10,1
IM0000005,5,2013-12-02 12:36:26,2
IM0000005,4,2013-12-02 12:36:26,2
IM0000005,1,2013-12-02 12:32:10,1
IM0000005,7,2013-12-02 12:32:10,1
IM0000005,2,2013-03-27 08:57:33,2
IM0000005,7,2013-04-16 14:19:09,3
IM0000005,7,2013-04-12 11:03:27,2
IM0000005,0,2013-05-24 08:42:34,3
IM0000005,0,2013-12-02 11:48:23,2
IM0000005,3,2013-12-02 11:48:23,2
IM0000005,2,2013-12-02 11:48:23,2
IM0000005,8,2013-03-27 08:57:33,2
IM0000005,3,2013-04-03 11:29:46,2
IM0000005,3,2013-06-03 11:14:59,3
IM0000005,0,2013-04-03 11:29:45,2
IM0000005,3,2013-04-16 14:19:09,3
IM0000005,9,2013-05-24 08:42:34,3
IM0000005,3,2013-05-24 08:42:34,3
IM0000005,3,2013-06-03 11:15:43,3
IM0000011,4,2013-11-14 09:31:26,4
IM0000011,5,2013-11-14 09:31:26,4
IM0000011,3,2013-03-27 09:06:18,2
IM0000011,1,2013-03-27 09:39:41,1
IM0000011,3,2013-03-27 11:28:04,2
IM0000011,1,2013-06-11 07:03:39,1
IM0000011,3,2013-11-05 16:55:52,2
IM0000011,1,2013-11-05 16:55:17,1
IM0000011,3,2013-11-05 16:55:17,1
IM0000011,0,2013-11-05 16:55:17,1
IM0000011,3,2013-03-27 11:05:52,1
IM0000011,1,2013-03-27 11:05:52,1
IM0000011,3,2013-06-11 06:54:42,2
IM0000011,0,2013-03-27 09:06:18,2
IM0000011,0,2013-01-07 08:19:20,0
IM0000011,2,2013-06-11 06:54:42,2
IM0000011,2,2013-03-27 09:06:18,2
IM0000011,1,2013-05-30 13:11:42,1
IM0000011,0,2013-03-27 11:05:52,1
IM0000011,0,2013-06-11 06:54:42,2
IM0000012,1,2013-02-13 11:57:55,1
IM0000012,0,2013-11-08 13:48:20,1
IM0000012,5,2013-11-08 13:55:53,2
IM0000012,3,2013-11-08 13:48:20,1
IM0000012,4,2013-11-08 13:55:53,2
IM0000012,1,2013-11-08 13:48:20,1
IM0000013,1,2013-02-13 12:03:35,1
IM0000013,4,2013-11-08 13:54:13,2
IM0000013,1,2013-11-08 13:50:18,1
IM0000013,0,2013-11-08 13:50:17,1
IM0000013,3,2013-11-08 13:50:18,1
IM0000013,5,2013-11-08 13:54:13,2
IM0000014,1,2013-02-13 12:21:01,1
IM0000014,1,2013-12-27 10:55:17,1
IM0000014,10,2013-12-27 10:59:25,2
IM0000014,4,2013-12-27 10:59:33,2
IM0000014,3,2013-12-27 10:55:17,1
IM0000014,1,2013-12-27 10:52:15,1
IM0000014,0,2013-12-27 10:55:17,1
IM0000014,1,2013-11-08 13:52:18,1
IM0000015,1,2013-02-14 11:07:09,1
IM0000015,0,2013-03-10 18:52:41,2
IM0000015,6,2013-10-14 10:33:49,1
IM0000015,3,2013-02-14 11:07:09,1
IM0000015,3,2013-02-14 12:05:15,2
IM0000015,0,2013-02-14 11:07:09,1
IM0000015,3,2013-09-18 15:00:45,2
IM0000015,2,2013-09-18 15:56:51,2
IM0000015,0,2013-09-18 16:01:35,2
IM0000015,3,2013-09-18 16:01:35,2
IM0000015,1,2013-02-13 12:31:12,1
IM0000015,6,2013-05-01 14:06:34,2
IM0000015,4,2013-11-08 14:09:10,2
IM0000015,1,2013-11-08 14:06:40,1
IM0000015,3,2013-11-08 14:06:40,1
IM0000015,0,2013-11-08 14:06:40,1
IM0000015,5,2013-11-08 14:09:10,2
IM0000015,6,2013-05-01 13:58:39,2
IM0000017,1,2013-02-13 12:38:26,1
IM0000017,5,2013-11-08 14:02:21,2
IM0000017,4,2013-11-08 14:02:21,2
IM0000017,0,2013-11-08 13:53:47,1
IM0000017,3,2013-11-08 13:53:47,1
IM0000017,1,2013-11-08 13:53:47,1
IM0000018,1,2013-02-27 13:16:20,1
IM0000018,4,2013-11-08 14:35:43,2
IM0000018,1,2013-11-08 13:58:22,1
IM0000018,3,2013-11-08 13:58:22,1
IM0000018,0,2013-11-08 13:58:22,1
IM0000018,5,2013-11-08 14:35:43,2
IM0000019,2,2013-02-27 13:33:46,2
IM0000019,1,2013-02-27 13:12:29,1
IM0000019,3,2013-02-27 13:24:54,2
IM0000019,3,2013-02-27 13:33:46,2
IM0000019,3,2013-02-27 13:12:29,1
IM0000019,1,2013-02-28 14:27:04,1
IM0000019,0,2013-02-27 13:33:46,2
IM0000019,3,2013-02-28 14:27:04,1
IM0000019,0,2013-02-27 13:12:29,1
IM0000019,3,2013-11-08 14:16:12,1
IM0000019,1,2013-11-08 14:16:12,1
IM0000019,4,2013-11-08 14:23:55,2
IM0000019,5,2013-11-08 14:23:55,2
IM0000019,0,2013-11-08 14:16:12,1
IM0000020,3,2013-06-26 06:24:42,2
IM0000020,7,2013-06-26 06:24:42,2
IM0000020,6,2013-06-25 20:04:32,5
IM0000020,1,2013-07-11 13:55:18,1
IM0000020,0,2013-06-25 20:04:32,5
IM0000020,0,2013-11-08 14:17:19,1
IM0000020,3,2013-11-08 14:17:20,1
IM0000020,1,2013-11-08 14:17:20,1
IM0000020,4,2013-11-08 14:22:06,2
IM0000020,5,2013-11-08 14:22:06,2
IM0000020,0,2013-06-26 06:24:42,2
IM0000020,6,2013-04-10 12:28:28,5
IM0000020,2,2013-06-26 06:24:42,2
IM0000020,3,2013-06-25 20:04:32,5
IM0000021,1,2013-02-27 13:26:40,1
IM0000021,5,2013-02-27 14:07:07,2
IM0000021,1,2013-02-27 14:00:13,1
IM0000021,0,2013-02-27 14:00:13,1
IM0000021,3,2013-02-27 14:00:13,1
IM0000021,4,2013-02-27 14:07:07,2
IM0000022,4,2013-11-14 13:33:36,2
IM0000022,10,2013-11-14 13:32:09,2
IM0000022,1,2013-08-12 07:27:26,1
IM0000022,11,2013-04-19 07:41:06,5
IM0000022,2,2013-11-14 09:46:16,4
IM0000022,2,2013-11-14 09:50:37,4
IM0000022,2,2013-11-14 09:45:17,4
IM0000022,2,2013-08-12 07:58:04,2
