CaseID,ActivityID,CompleteTimestamp,GroupID
IM0000004,0,2013-01-07 08:17:17,TEAM0001
IM0000004,0,2013-01-07 08:17:17,TEAM0001
IM0000004,0,2013-11-04 13:41:30,TEAM0002
IM0000004,1,2013-11-04 13:41:30,TEAM0002
IM0000004,2,2013-11-04 12:09:37,TEAM0003
IM0000004,3,2013-11-04 12:09:37,TEAM0003
IM0000004,3,2013-11-04 13:41:30,TEAM0002
IM0000004,4,2013-11-04 13:51:18,TEAM0003
IM0000004,5,2013-11-04 13:51:18,TEAM0003
IM0000004,0,2013-11-04 12:09:37,TEAM0003
IM0000004,2,2013-09-25 08:27:40,TEAM0003
IM0000005,6,2013-06-03 11:15:43,TEAM9999
IM0000005,2,2013-04-03 11:29:46,TEAM0003
IM0000005,0,2013-01-07 08:17:54,TEAM0001
IM0000005,2,2013-09-05 08:58:58,TEAM0003
IM0000005,2,2013-04-12 11:03:27,TEAM0003
IM0000005,7,2013-04-23 08:22:09,TEAM0003
IM0000005,1,2013-12-02 12:00:07,TEAM0002
IM0000005,0,2013-12-02 12:32:10,TEAM0002
IM0000005,3,2013-12-02 12:32:10,TEAM0002
IM0000005,5,2013-12-02 12:36:26,TEAM0003
IM0000005,4,2013-12-02 12:36:26,TEAM0003
IM0000005,1,2013-12-02 12:32:10,TEAM0002
IM0000005,7,2013-12-02 12:32:10,TEAM0002
IM0000005,2,2013-03-27 08:57:33,TEAM0003
IM0000005,7,2013-04-16 14:19:09,TEAM9999
IM0000005,7,2013-04-12 11:03:27,TEAM0003
IM0000005,0,2013-05-24 08:42:34,TEAM9999
IM0000005,0,2013-12-02 11:48:23,TEAM0003
IM0000005,3,2013-12-02 11:48:23,TEAM0003
IM0000005,2,2013-12-02 11:48:23,TEAM0003
IM0000005,8,2013-03-27 08:57:33,TEAM0003
IM0000005,3,2013-04-03 11:29:46,TEAM0003
IM0000005,3,2013-06-03 11:14:59,TEAM9999
IM0000005,0,2013-04-03 11:29:45,TEAM0003
IM0000005,3,2013-04-16 14:19:09,TEAM9999
IM0000005,9,2013-05-24 08:42:34,TEAM9999
IM0000005,3,2013-05-24 08:42:34,TEAM9999
IM0000005,3,2013-06-03 11:15:43,TEAM9999
IM0000011,4,2013-11-14 09:31:26,TEAM0004
IM0000011,5,2013-11-14 09:31:26,TEAM0004
IM0000011,3,2013-03-27 09:06:18,TEAM0003
IM0000011,1,2013-03-27 09:39:41,TEAM0002
IM0000011,3,2013-03-27 11:28:04,TEAM0003
