CaseID,ActivityID,CompleteTimestamp,GroupID
2,1,2012-04-03 16:55:38,0
2,8,2012-04-03 16:55:53,0
2,6,2012-04-05 17:15:52,1
3,1,2010-10-29 18:14:06,1
3,8,2010-11-04 01:16:11,2
3,6,2010-11-04 01:21:17,2
4,1,2010-12-15 23:31:53,1
4,8,2010-12-16 17:01:07,2
4,6,2010-12-16 17:08:19,2
5,1,2012-04-03 21:08:32,2
5,8,2012-04-03 21:45:33,2
5,6,2012-04-03 21:47:22,3
5,8,2012-04-03 22:15:02,2
5,6,2012-04-04 00:07:28,0
6,1,2011-10-25 23:13:58,2
6,8,2011-10-25 23:58:55,2
6,6,2011-10-26 17:54:46,2
8,1,2012-07-05 16:30:32,1
8,8,2012-07-05 17:25:45,1
8,6,2012-07-05 17:44:46,1
9,3,2010-05-07 21:02:21,2
9,1,2010-05-07 21:02:34,2
9,8,2010-05-24 18:26:28,1
9,6,2010-05-25 23:35:44,1
10,1,2010-02-10 17:50:20,2
10,8,2010-03-19 17:47:06,3
10,6,2010-03-19 17:47:13,2
11,1,2011-12-22 00:24:41,3
11,8,2011-12-22 00:25:34,2
11,6,2011-12-22 18:55:43,2
14,1,2011-07-05 21:47:08,2
14,8,2011-07-05 21:47:22,2
14,6,2011-07-05 21:52:37,2
16,1,2012-02-22 23:16:52,3
16,8,2012-02-23 01:14:07,2
16,8,2012-02-23 01:23:57,3
16,6,2012-02-23 18:47:38,3
17,1,2011-10-14 15:10:47,3
17,8,2011-11-03 01:17:52,3
17,6,2011-11-09 22:31:37,4
19,1,2010-07-07 15:54:04,4
19,8,2010-07-09 18:10:52,2
19,6,2010-07-09 18:11:18,1
21,1,2011-01-15 00:15:21,2
21,8,2011-01-27 17:06:37,1
21,6,2011-01-27 19:19:15,2
22,1,2012-07-23 15:49:04,1
22,8,2012-07-23 15:49:14,1
22,9,2012-07-23 16:51:59,1
22,6,2012-08-27 18:05:23,1
24,1,2010-04-27 17:49:56,1
24,8,2010-06-08 19:06:56,2
24,6,2010-06-08 22:46:16,2
25,1,2010-12-30 18:27:17,0
25,8,2010-12-30 22:14:04,2
25,6,2010-12-31 00:16:35,2
26,1,2011-03-31 15:28:47,1
26,8,2011-03-31 15:31:59,1
26,9,2011-03-31 16:39:41,2
26,8,2011-03-31 19:00:28,1
26,6,2011-03-31 19:00:41,1
27,1,2011-11-24 23:02:16,2
27,8,2011-11-24 23:02:35,1
27,6,2011-12-12 18:04:47,2
29,1,2012-07-30 18:07:32,1
29,8,2012-07-30 18:07:40,1
29,6,2012-07-30 20:29:40,2
30,1,2011-01-21 18:47:20,1
30,8,2011-02-07 18:19:45,1
30,6,2011-02-10 18:01:20,1
32,1,2011-04-27 15:38:44,2
32,8,2011-04-27 20:46:13,1
32,6,2011-04-28 16:18:08,1
35,1,2012-01-18 17:15:30,2
35,6,2012-01-18 18:46:37,2
36,1,2011-06-29 18:06:48,1
36,8,2011-06-30 20:58:23,1
36,6,2011-07-05 15:32:43,1
37,1,2011-02-10 20:13:07,1
37,8,2011-02-10 20:13:33,1
37,6,2011-02-11 00:20:02,2
37,6,2011-03-02 22:23:58,1
37,8,2011-03-02 22:24:07,1
37,9,2011-03-03 00:27:52,2
37,8,2011-03-04 18:37:50,1
37,6,2011-03-04 18:37:55,2
38,1,2012-03-20 16:57:45,2
38,8,2012-03-20 16:58:15,2
38,6,2012-03-20 17:18:56,2
40,1,2012-08-09 20:13:03,1
40,8,2012-08-09 20:13:29,2
40,6,2012-08-09 20:46:00,2
41,1,2010-12-14 19:44:26,1
41,8,2010-12-14 19:44:57,1
41,6,2010-12-14 19:45:12,1
42,1,2011-06-16 20:23:39,2
42,8,2011-06-16 20:51:05,2
42,6,2011-06-16 21:39:51,1
43,1,2012-04-10 16:56:32,2
43,8,2012-04-10 17:27:27,2
43,6,2012-04-10 18:53:28,1
44,1,2010-11-30 01:09:19,1
44,8,2010-11-30 01:19:59,1
44,6,2010-11-30 01:20:51,1
45,1,2012-01-20 23:08:14,2
45,8,2012-01-25 20:46:19,1
45,6,2012-03-02 19:40:59,1
47,1,2011-05-25 17:48:18,1
47,8,2011-05-25 17:48:43,2
47,6,2011-05-30 23:04:34,2
48,3,2010-12-01 22:42:59,1
48,1,2010-12-02 23:07:33,2
48,8,2010-12-02 23:07:41,2
48,6,2010-12-02 23:08:33,1
49,1,2011-11-25 23:33:54,1
49,8,2011-11-25 23:47:48,2
49,9,2011-11-29 23:47:35,1
49,6,2011-12-03 01:25:57,1
50,1,2012-01-16 19:53:01,1
50,8,2012-01-16 19:59:51,1
50,6,2012-01-17 01:37:54,2
50,6,2012-01-17 01:37:55,2
51,1,2012-06-13 21:55:36,1
51,8,2012-06-14 15:07:06,2
51,9,2012-06-15 15:16:27,2
51,6,2012-07-02 17:41:04,5
52,1,2012-07-26 23:18:26,1
52,8,2012-07-26 23:18:35,5
52,6,2012-07-27 18:46:28,1
53,1,2010-10-14 21:53:13,1
53,8,2010-10-15 21:02:36,1
53,9,2010-10-28 23:12:55,2
53,9,2010-10-28 23:12:55,2
53,8,2010-10-29 21:42:01,2
53,6,2010-11-04 17:48:12,5
55,1,2011-10-26 23:51:42,2
55,8,2011-11-01 00:19:03,5
55,9,2011-11-07 17:44:52,1
55,6,2011-11-21 17:21:23,2
56,1,2012-01-30 20:32:58,1
56,6,2012-01-30 20:33:23,1
57,1,2010-10-29 17:39:23,1
57,8,2010-11-02 23:56:13,2
57,6,2010-11-03 00:39:05,2
59,1,2012-03-28 20:28:37,2
59,8,2012-03-28 20:28:47,1
59,6,2012-03-28 23:32:57,5
59,6,2012-03-28 23:32:57,4
60,1,2011-04-06 23:35:49,4
60,8,2011-04-06 23:36:04,4
60,9,2011-04-07 23:41:23,2
60,8,2011-04-13 16:49:14,2
60,6,2011-04-13 16:49:22,2
61,1,2011-09-16 15:04:39,2
61,8,2011-09-16 15:18:12,2
61,6,2011-09-16 23:04:46,2
62,1,2012-05-28 23:16:47,1
62,6,2012-05-28 23:18:27,2
64,1,2011-04-14 23:54:28,2
64,1,2011-04-14 23:54:46,2
64,9,2011-04-15 18:41:19,2
64,8,2011-04-27 18:30:04,2
64,9,2011-04-27 18:30:13,2
64,8,2011-05-06 17:42:13,2
64,6,2011-05-06 17:42:28,2
66,1,2012-06-26 16:46:53,2
66,8,2012-06-26 16:47:39,1
66,6,2012-06-26 21:05:58,4
67,1,2010-12-31 00:03:15,1
67,8,2011-01-11 17:40:08,5
67,6,2011-01-13 20:45:18,1
68,1,2012-04-11 22:09:22,2
68,8,2012-04-11 22:09:45,5
68,6,2012-04-12 18:31:37,2
70,1,2011-06-07 15:34:53,2
70,8,2011-06-07 15:35:14,2
70,9,2011-07-08 16:44:58,2
70,6,2011-07-12 15:00:36,1
71,1,2011-11-02 17:20:14,5
71,8,2011-11-02 17:20:41,5
71,6,2011-11-02 18:49:41,2
72,1,2011-01-25 22:15:31,5
72,8,2011-01-25 22:15:58,2
72,6,2011-02-14 20:48:42,1
73,1,2012-07-31 19:01:15,5
73,6,2012-07-31 19:02:02,3
74,6,2012-02-10 20:42:26,2
75,1,2010-03-12 00:15:54,6
75,1,2010-04-23 15:44:51,6
75,8,2010-04-23 15:44:59,2
75,6,2010-04-23 15:45:04,3
76,1,2012-01-11 00:01:36,2
76,6,2012-01-11 00:58:08,2
78,1,2011-11-08 18:18:10,3
78,8,2011-11-08 18:22:35,0
78,6,2011-12-06 01:33:12,2
80,1,2012-08-02 17:22:58,1
80,8,2012-08-03 20:12:15,1
80,6,2012-08-10 18:13:48,1
81,1,2010-02-09 17:31:47,2
81,8,2010-02-09 17:35:12,2
81,9,2010-02-09 17:35:26,2
81,9,2010-02-09 17:36:27,7
81,8,2010-02-19 17:31:40,7
81,6,2010-02-19 17:32:00,7
84,1,2010-12-10 18:15:54,7
84,8,2010-12-10 18:16:17,7
84,6,2010-12-10 18:16:34,7
85,1,2011-02-25 02:01:50,7
85,8,2011-02-25 02:03:45,7
85,6,2011-03-04 19:02:13,7
86,1,2012-06-13 00:12:48,7
86,8,2012-06-15 15:27:33,7
86,9,2012-06-15 18:00:52,7
86,6,2012-06-18 17:42:02,7
87,1,2011-11-14 23:35:55,2
87,8,2011-11-18 01:58:30,4
87,9,2011-11-18 01:59:03,2
87,6,2011-11-25 18:30:07,2
87,8,2011-11-28 22:50:35,5
87,9,2011-11-28 22:59:00,2
87,6,2011-12-07 22:41:18,2
88,1,2010-09-24 15:57:49,2
88,1,2010-09-24 21:43:51,5
88,9,2010-09-24 21:44:52,5
88,8,2010-10-04 18:48:54,3
88,6,2010-10-04 18:49:08,2
90,1,2010-03-16 16:59:03,5
90,8,2010-03-17 18:02:03,4
90,6,2010-03-17 18:49:51,3
91,1,2011-05-24 20:51:35,5
91,8,2011-05-24 20:52:07,2
91,6,2011-05-24 21:36:11,4
92,1,2010-03-09 19:09:33,5
92,8,2010-03-09 19:09:44,8
92,6,2010-03-18 18:27:56,2
93,1,2012-07-25 15:02:54,1
93,8,2012-07-30 17:39:04,2
93,6,2012-08-02 23:14:07,1
94,1,2012-02-08 17:33:56,1
94,8,2012-02-08 17:34:08,5
94,6,2012-02-08 17:34:34,2
95,1,2011-09-26 18:27:14,2
95,8,2011-09-29 21:54:32,4
95,6,2011-09-30 17:09:23,4
96,1,2012-02-28 01:31:32,2
96,8,2012-02-28 17:52:59,2
96,6,2012-02-29 17:25:13,2
96,6,2012-02-29 17:25:14,2
98,1,2012-07-05 20:16:51,2
98,8,2012-07-05 20:20:39,2
98,6,2012-07-09 21:21:24,3
99,1,2011-05-11 18:16:32,3
99,8,2011-05-11 18:17:55,2
99,6,2011-05-16 16:33:29,2
101,3,2010-06-18 21:47:15,2
101,1,2010-06-18 22:18:15,1
101,8,2010-06-29 15:35:47,1
101,6,2010-06-29 16:33:07,1
102,1,2012-01-30 18:09:29,2
102,8,2012-01-30 18:09:57,2
102,6,2012-01-31 17:12:06,1
103,1,2010-06-07 15:30:54,2
103,1,2010-06-07 15:49:10,1
103,8,2010-06-07 23:16:44,2
103,9,2010-06-08 18:37:29,5
103,8,2010-06-09 15:18:05,1
103,2,2010-06-09 15:18:28,1
103,6,2010-06-16 17:23:07,2
104,1,2011-01-27 17:34:59,1
104,8,2011-01-27 18:32:40,5
104,6,2011-01-27 18:34:24,2
108,1,2011-01-12 20:28:16,1
108,8,2011-01-24 18:21:26,2
108,6,2011-01-26 17:12:39,2
109,1,2010-09-24 23:35:31,2
109,8,2010-09-27 17:11:48,2
109,9,2010-09-28 16:31:41,2
109,8,2010-11-08 18:33:36,2
109,6,2010-11-08 18:33:57,2
110,1,2010-12-16 18:33:24,2
110,8,2010-12-16 18:40:25,2
110,6,2010-12-17 00:52:50,2
111,1,2010-06-29 22:00:48,3
111,8,2010-06-29 23:16:26,2
111,6,2010-06-30 16:05:04,2
111,8,2010-06-30 22:19:00,2
111,9,2010-07-01 17:00:03,2
111,8,2010-07-02 22:07:18,9
111,6,2010-07-02 22:08:52,2
112,1,2011-10-06 15:50:55,2
112,8,2011-10-07 22:03:47,2
112,6,2011-10-14 22:44:32,2
113,3,2010-05-06 23:51:48,2
113,1,2010-05-24 18:23:15,2
113,8,2010-05-25 21:48:24,2
113,6,2010-05-25 22:11:28,2
116,1,2011-04-08 21:02:03,2
116,8,2011-04-08 21:02:38,2
116,6,2011-04-08 21:07:10,2
117,1,2012-07-19 18:59:25,2
117,8,2012-07-20 16:49:34,2
117,6,2012-07-20 22:44:15,2
118,1,2011-03-07 20:02:24,2
118,8,2011-03-07 20:02:41,1
118,6,2011-03-07 22:14:21,2
119,1,2011-12-05 23:22:17,2
119,8,2011-12-05 23:58:56,2
119,6,2011-12-13 18:22:04,2
120,1,2012-04-24 22:07:03,2
120,8,2012-05-08 18:53:06,1
120,9,2012-05-08 20:31:30,2
120,6,2012-05-08 22:04:27,1
121,1,2011-02-09 22:28:58,1
121,8,2011-02-09 23:21:02,1
121,6,2011-02-09 23:21:46,2
122,1,2011-02-15 00:23:08,2
122,8,2011-02-15 20:17:46,1
122,6,2011-02-15 20:52:47,2
123,1,2011-05-06 15:33:07,1
123,8,2011-05-06 15:33:39,1
123,9,2011-05-06 20:55:50,2
123,8,2011-05-12 21:45:43,2
123,6,2011-05-12 21:45:54,2
124,1,2012-06-07 23:31:32,7
124,8,2012-06-08 14:47:21,2
124,6,2012-06-08 14:47:30,2
125,1,2010-08-19 17:48:49,3
