case,event,startTime,Group
Case No. 1,ApplyForTrip,2018/03/22 11:25:38.631,G3
Case No. 1,BookTransport,2018/03/22 11:27:05.631,G2
Case No. 1,BookAccomodation,2018/03/22 11:27:30.631,G3
Case No. 1,BookAccomodation,2018/03/22 11:37:13.631,G3
Case No. 1,BookTransport,2018/03/22 11:56:34.631,G2
Case No. 1,CollectTickets,2018/03/22 12:32:45.631,G3
Case No. 1,UseTransport,2018/03/22 13:36:30.631,G2
Case No. 1,UseTransport,2018/03/22 13:51:46.631,G2
Case No. 1,ApplyForTrip,2018/03/22 13:59:56.631,G2
Case No. 1,BookTransport,2018/03/22 14:06:48.631,G2
Case No. 1,DoSomething,2018/03/22 14:22:39.631,G2
Case No. 1,BookAccomodation,2018/03/22 14:40:07.631,G3
Case No. 1,CollectTickets,2018/03/22 14:46:37.631,G3
Case No. 1,UseTransport,2018/03/22 15:05:48.631,G3
Case No. 1,BookTransport,2018/03/22 15:09:05.631,G2
Case No. 2,BookTransport,2018/03/22 15:29:43.631,G2
Case No. 2,ApplyForTrip,2018/03/22 15:39:02.631,G2
Case No. 2,BookAccomodation,2018/03/22 16:12:49.631,G3
Case No. 2,BookAccomodation,2018/03/22 16:23:42.631,G3
Case No. 2,BookTransport,2018/03/22 16:36:03.631,G2
Case No. 2,UseTransport,2018/03/22 17:04:40.631,G2
Case No. 2,BookAccomodation,2018/03/22 17:10:27.631,G2
Case No. 2,CollectTickets,2018/03/22 17:15:13.631,G2
Case No. 2,BookTransport,2018/03/22 17:22:57.631,G2
Case No. 2,ApplyForTrip,2018/03/22 17:33:09.631,G3
Case No. 2,CollectTickets,2018/03/22 17:42:56.631,G2
Case No. 2,CollectTickets,2018/03/22 18:04:45.631,G3
Case No. 2,DoSomething,2018/03/22 18:04:56.631,G3
Case No. 2,CollectTickets,2018/03/22 18:36:08.631,G2
Case No. 2,BookTransport,2018/03/22 18:51:30.631,G2
Case No. 3,ApplyForTrip,2018/03/22 19:36:19.631,G2
Case No. 3,BookTransport,2018/03/22 19:53:06.631,G2
Case No. 3,BookAccomodation,2018/03/22 20:10:10.631,G3
Case No. 3,BookAccomodation,2018/03/22 20:31:15.631,G2
Case No. 3,BookTransport,2018/03/22 20:37:28.631,G2
Case No. 3,BookAccomodation,2018/03/22 20:42:32.631,G2
Case No. 3,BookAccomodation,2018/03/22 21:04:30.631,G2
Case No. 3,BookAccomodation,2018/03/22 21:27:51.631,G2
Case No. 3,ApplyForTrip,2018/03/22 21:30:49.631,G2
Case No. 3,BookTransport,2018/03/22 21:37:49.631,G2
Case No. 3,BookAccomodation,2018/03/22 21:44:36.631,G2
Case No. 3,BookAccomodation,2018/03/22 22:28:48.631,G3
Case No. 3,BookAccomodation,2018/03/22 22:40:20.631,G2
Case No. 3,BookAccomodation,2018/03/22 22:50:44.631,G2
Case No. 3,BookTransport,2018/03/22 22:50:58.631,G2
Case No. 4,ApplyForTrip,2018/03/23 00:11:03.631,G2
Case No. 4,BookTransport,2018/03/23 00:37:18.631,G2
Case No. 4,BookAccomodation,2018/03/23 01:16:33.631,G2
Case No. 4,BookAccomodation,2018/03/23 01:19:17.631,G2
Case No. 4,BookTransport,2018/03/23 01:23:51.631,G2
Case No. 4,BookAccomodation,2018/03/23 01:27:28.631,G2
Case No. 4,BookAccomodation,2018/03/23 01:52:48.631,G2
Case No. 4,BookAccomodation,2018/03/23 02:02:41.631,G2
Case No. 4,ApplyForTrip,2018/03/23 02:09:40.631,G2
Case No. 4,BookTransport,2018/03/23 02:22:16.631,G2
Case No. 4,BookAccomodation,2018/03/23 02:31:22.631,G2
Case No. 4,BookAccomodation,2018/03/23 02:59:57.631,G2
Case No. 4,BookAccomodation,2018/03/23 03:05:22.631,G2
Case No. 4,BookAccomodation,2018/03/23 03:10:41.631,G2
Case No. 4,BookTransport,2018/03/23 03:15:19.631,G2
Case No. 5,ApplyForTrip,2018/03/23 03:26:37.631,G1
Case No. 5,BookTransport,2018/03/23 03:48:34.631,G2
Case No. 5,BookAccomodation,2018/03/23 04:50:09.631,G2
Case No. 5,BookAccomodation,2018/03/23 04:53:36.631,G2
Case No. 5,BookTransport,2018/03/23 04:56:11.631,G2
Case No. 5,BookAccomodation,2018/03/23 05:16:36.631,G2
Case No. 5,BookAccomodation,2018/03/23 05:27:54.631,G2
Case No. 5,BookAccomodation,2018/03/23 05:45:30.631,G2
Case No. 5,ApplyForTrip,2018/03/23 06:06:21.631,G2
Case No. 5,BookTransport,2018/03/23 06:18:45.631,G2
Case No. 5,BookAccomodation,2018/03/23 06:25:14.631,G2
Case No. 5,BookAccomodation,2018/03/23 06:29:32.631,G2
Case No. 5,BookAccomodation,2018/03/23 07:05:46.631,G2
Case No. 5,BookAccomodation,2018/03/23 07:10:29.631,G2
Case No. 5,BookTransport,2018/03/23 07:18:22.631,G2
Case No. 6,ApplyForTrip,2018/03/23 07:24:47.631,G4
Case No. 6,BookTransport,2018/03/23 07:56:34.631,G2
Case No. 6,BookAccomodation,2018/03/23 08:19:31.631,G2
Case No. 6,BookAccomodation,2018/03/23 08:45:55.631,G2
Case No. 6,BookTransport,2018/03/23 08:50:02.631,G2
Case No. 6,BookAccomodation,2018/03/23 09:29:24.631,G2
Case No. 6,BookAccomodation,2018/03/23 09:44:03.631,G2
Case No. 6,BookAccomodation,2018/03/23 09:51:53.631,G2
Case No. 6,ApplyForTrip,2018/03/23 10:05:58.631,G2
Case No. 6,BookTransport,2018/03/23 10:27:22.631,G2
Case No. 6,BookAccomodation,2018/03/23 10:30:51.631,G2
Case No. 6,BookAccomodation,2018/03/23 10:32:11.631,G2
Case No. 6,BookAccomodation,2018/03/23 10:34:19.631,G2
Case No. 6,BookAccomodation,2018/03/23 10:37:55.631,G2
Case No. 6,BookTransport,2018/03/23 11:12:02.631,G2
Case No. 7,ApplyForTrip,2018/03/23 11:35:41.631,G4
Case No. 7,BookTransport,2018/03/23 11:45:34.631,G2
Case No. 7,BookAccomodation,2018/03/23 11:48:23.631,G1
Case No. 7,BookAccomodation,2018/03/23 12:03:38.631,G2
Case No. 7,BookTransport,2018/03/23 12:34:23.631,G2
Case No. 7,BookAccomodation,2018/03/23 12:45:09.631,G2
Case No. 7,BookAccomodation,2018/03/23 13:01:01.631,G2
Case No. 7,BookAccomodation,2018/03/23 13:01:31.631,G2
Case No. 7,ApplyForTrip,2018/03/23 13:22:32.631,G2
Case No. 7,BookTransport,2018/03/23 13:37:49.631,G2
Case No. 7,BookAccomodation,2018/03/23 13:52:10.631,G2
Case No. 7,BookAccomodation,2018/03/23 14:13:26.631,G2
Case No. 7,BookAccomodation,2018/03/23 14:21:14.631,G2
Case No. 7,BookAccomodation,2018/03/23 14:24:09.631,G2
Case No. 7,BookTransport,2018/03/23 15:17:02.631,G2
Case No. 8,ApplyForTrip,2018/03/23 15:45:42.631,G2
Case No. 8,BookTransport,2018/03/23 16:38:36.631,G2
Case No. 8,BookAccomodation,2018/03/23 16:40:44.631,G1
Case No. 8,BookAccomodation,2018/03/23 16:46:27.631,G2
Case No. 8,BookTransport,2018/03/23 16:53:36.631,G2
Case No. 8,BookAccomodation,2018/03/23 16:59:43.631,G2
Case No. 8,BookAccomodation,2018/03/23 17:02:29.631,G2
Case No. 8,BookAccomodation,2018/03/23 17:14:29.631,G2
Case No. 8,ApplyForTrip,2018/03/23 17:16:36.631,G2
Case No. 8,BookTransport,2018/03/23 17:38:51.631,G2
Case No. 8,BookAccomodation,2018/03/23 17:49:09.631,G2
