CaseID,ActivityID,CompleteTimestamp
Case No. 1,0,2018/05/01 19:02:29
Case No. 1,0,2018/05/01 19:02:29
Case No. 1,1,2018/05/01 19:17:06
Case No. 1,2,2018/05/01 20:29:08
Case No. 1,2,2018/05/01 22:02:43
Case No. 1,3,2018/05/01 22:15:52
Case No. 1,1,2018/05/01 22:44:09
Case No. 2,0,2018/05/01 20:29:48
Case No. 2,4,2018/05/01 20:50:10
Case No. 2,1,2018/05/01 20:52:38
Case No. 2,2,2018/05/01 22:18:18
Case No. 2,2,2018/05/01 22:18:19
Case No. 2,5,2018/05/01 22:24:21
Case No. 2,6,2018/05/01 22:52:40
Case No. 3,0,2018/05/01 23:21:40
Case No. 3,1,2018/05/02 00:13:31
Case No. 3,1,2018/05/02 00:33:30
Case No. 3,2,2018/05/02 02:00:53
Case No. 3,3,2018/05/02 02:04:44
Case No. 3,1,2018/05/02 02:15:44
Case No. 4,0,2018/05/02 04:25:31
Case No. 4,1,2018/05/02 04:38:19
Case No. 4,1,2018/05/02 04:46:48
Case No. 4,1,2018/05/02 04:59:54
Case No. 4,1,2018/05/02 06:20:29
Case No. 4,1,2018/05/02 06:38:22
Case No. 5,0,2018/05/02 07:01:27
Case No. 5,1,2018/05/02 07:59:09
Case No. 5,1,2018/05/02 08:59:34
Case No. 5,1,2018/05/02 09:47:17
Case No. 5,1,2018/05/02 10:11:14
Case No. 5,1,2018/05/02 10:33:12
Case No. 6,0,2018/05/01 23:18:50
Case No. 6,1,2018/05/01 23:35:22
Case No. 6,2,2018/05/02 00:28:37
Case No. 6,5,2018/05/02 00:56:08
Case No. 6,1,2018/05/02 01:33:22
Case No. 6,1,2018/05/02 01:42:42
Case No. 6,1,2018/05/02 02:13:44
Case No. 7,0,2018/05/02 11:22:20
Case No. 7,1,2018/05/02 12:03:01
Case No. 7,1,2018/05/02 12:27:13
Case No. 7,1,2018/05/02 13:14:09
Case No. 7,1,2018/05/02 13:14:42
Case No. 7,1,2018/05/02 13:49:41
Case No. 8,0,2018/05/02 15:13:28
Case No. 8,1,2018/05/02 15:18:07
Case No. 8,1,2018/05/02 16:08:26
Case No. 8,1,2018/05/02 18:14:05
Case No. 8,1,2018/05/02 18:28:11
Case No. 8,1,2018/05/02 19:00:56
Case No. 9,0,2018/05/02 19:23:26
Case No. 9,1,2018/05/02 19:47:08
Case No. 9,1,2018/05/02 20:53:23
Case No. 9,1,2018/05/02 21:15:31
Case No. 9,1,2018/05/02 21:15:48
Case No. 9,1,2018/05/02 21:35:40
Case No. 10,0,2018/05/02 03:27:27
Case No. 10,1,2018/05/02 04:30:10
Case No. 10,2,2018/05/02 05:09:51
Case No. 10,5,2018/05/02 05:22:18
Case No. 10,3,2018/05/02 06:05:04
Case No. 10,1,2018/05/02 06:39:05
Case No. 10,1,2018/05/02 07:01:25
Case No. 11,0,2018/05/02 23:53:11
Case No. 11,1,2018/05/03 00:30:30
Case No. 11,1,2018/05/03 01:07:53
Case No. 11,1,2018/05/03 01:39:53
Case No. 11,1,2018/05/03 02:34:33
Case No. 11,1,2018/05/03 02:59:38
Case No. 12,0,2018/05/03 04:16:53
Case No. 12,1,2018/05/03 04:20:07
Case No. 12,1,2018/05/03 05:19:48
Case No. 12,1,2018/05/03 05:29:39
Case No. 12,1,2018/05/03 05:36:02
Case No. 12,1,2018/05/03 06:00:07
Case No. 13,0,2018/05/03 07:34:39
Case No. 13,1,2018/05/03 07:50:40
Case No. 13,1,2018/05/03 07:50:54
Case No. 13,1,2018/05/03 10:03:38
Case No. 13,1,2018/05/03 10:21:37
Case No. 13,1,2018/05/03 10:31:15
Case No. 14,0,2018/05/02 07:52:14
Case No. 14,1,2018/05/02 08:20:59
Case No. 14,2,2018/05/02 08:21:50
Case No. 14,5,2018/05/02 08:52:10
Case No. 14,1,2018/05/02 09:04:31
Case No. 14,1,2018/05/02 09:34:58
Case No. 14,1,2018/05/02 09:49:25
Case No. 15,0,2018/05/03 11:13:40
Case No. 15,1,2018/05/03 12:54:35
Case No. 15,1,2018/05/03 12:56:47
Case No. 15,1,2018/05/03 14:27:25
Case No. 15,1,2018/05/03 14:41:18
Case No. 15,1,2018/05/03 14:47:26
Case No. 16,0,2018/05/03 16:14:47
Case No. 16,1,2018/05/03 16:16:51
Case No. 16,1,2018/05/03 16:34:23
Case No. 16,1,2018/05/03 18:19:38
Case No. 16,1,2018/05/03 18:22:21
Case No. 16,1,2018/05/03 18:43:40
Case No. 17,0,2018/05/03 19:20:28
