CaseID,ActivityID,CompleteTimestamp,GroupID
Case No. 1,0,2018/03/22 11:25:38,0
Case No. 1,0,2018/03/22 11:25:38,0
Case No. 1,1,2018/03/22 11:27:05,1
Case No. 1,2,2018/03/22 11:27:30,0
Case No. 1,2,2018/03/22 11:37:13,0
Case No. 1,1,2018/03/22 11:56:34,1
Case No. 1,3,2018/03/22 12:32:45,0
Case No. 1,4,2018/03/22 13:36:30,1
Case No. 1,4,2018/03/22 13:51:46,1
Case No. 1,0,2018/03/22 13:59:56,1
Case No. 1,1,2018/03/22 14:06:48,1
Case No. 1,5,2018/03/22 14:22:39,1
Case No. 1,2,2018/03/22 14:40:07,0
Case No. 1,3,2018/03/22 14:46:37,0
Case No. 1,4,2018/03/22 15:05:48,0
Case No. 1,1,2018/03/22 15:09:05,1
Case No. 2,1,2018/03/22 15:29:43,1
Case No. 2,0,2018/03/22 15:39:02,1
Case No. 2,2,2018/03/22 16:12:49,0
Case No. 2,2,2018/03/22 16:23:42,0
Case No. 2,1,2018/03/22 16:36:03,1
Case No. 2,4,2018/03/22 17:04:40,1
Case No. 2,2,2018/03/22 17:10:27,1
Case No. 2,3,2018/03/22 17:15:13,1
Case No. 2,1,2018/03/22 17:22:57,1
Case No. 2,0,2018/03/22 17:33:09,0
Case No. 2,3,2018/03/22 17:42:56,1
Case No. 2,3,2018/03/22 18:04:45,0
Case No. 2,5,2018/03/22 18:04:56,0
Case No. 2,3,2018/03/22 18:36:08,1
Case No. 2,1,2018/03/22 18:51:30,1
Case No. 3,0,2018/03/22 19:36:19,1
Case No. 3,1,2018/03/22 19:53:06,1
Case No. 3,2,2018/03/22 20:10:10,0
Case No. 3,2,2018/03/22 20:31:15,1
Case No. 3,1,2018/03/22 20:37:28,1
Case No. 3,2,2018/03/22 20:42:32,1
Case No. 3,2,2018/03/22 21:04:30,1
Case No. 3,2,2018/03/22 21:27:51,1
Case No. 3,0,2018/03/22 21:30:49,1
Case No. 3,1,2018/03/22 21:37:49,1
Case No. 3,2,2018/03/22 21:44:36,1
Case No. 3,2,2018/03/22 22:28:48,0
Case No. 3,2,2018/03/22 22:40:20,1
Case No. 3,2,2018/03/22 22:50:44,1
Case No. 3,1,2018/03/22 22:50:58,1
Case No. 4,0,2018/03/23 00:11:03,1
Case No. 4,1,2018/03/23 00:37:18,1
Case No. 4,2,2018/03/23 01:16:33,1
Case No. 4,2,2018/03/23 01:19:17,1
Case No. 4,1,2018/03/23 01:23:51,1
Case No. 4,2,2018/03/23 01:27:28,1
Case No. 4,2,2018/03/23 01:52:48,1
Case No. 4,2,2018/03/23 02:02:41,1
Case No. 4,0,2018/03/23 02:09:40,1
Case No. 4,1,2018/03/23 02:22:16,1
Case No. 4,2,2018/03/23 02:31:22,1
Case No. 4,2,2018/03/23 02:59:57,1
Case No. 4,2,2018/03/23 03:05:22,1
Case No. 4,2,2018/03/23 03:10:41,1
Case No. 4,1,2018/03/23 03:15:19,1
Case No. 5,0,2018/03/23 03:26:37,2
Case No. 5,1,2018/03/23 03:48:34,1
Case No. 5,2,2018/03/23 04:50:09,1
Case No. 5,2,2018/03/23 04:53:36,1
Case No. 5,1,2018/03/23 04:56:11,1
Case No. 5,2,2018/03/23 05:16:36,1
Case No. 5,2,2018/03/23 05:27:54,1
Case No. 5,2,2018/03/23 05:45:30,1
Case No. 5,0,2018/03/23 06:06:21,1
Case No. 5,1,2018/03/23 06:18:45,1
Case No. 5,2,2018/03/23 06:25:14,1
Case No. 5,2,2018/03/23 06:29:32,1
Case No. 5,2,2018/03/23 07:05:46,1
Case No. 5,2,2018/03/23 07:10:29,1
Case No. 5,1,2018/03/23 07:18:22,1
Case No. 6,0,2018/03/23 07:24:47,3
Case No. 6,1,2018/03/23 07:56:34,1
Case No. 6,2,2018/03/23 08:19:31,1
Case No. 6,2,2018/03/23 08:45:55,1
Case No. 6,1,2018/03/23 08:50:02,1
Case No. 6,2,2018/03/23 09:29:24,1
Case No. 6,2,2018/03/23 09:44:03,1
Case No. 6,2,2018/03/23 09:51:53,1
Case No. 6,0,2018/03/23 10:05:58,1
Case No. 6,1,2018/03/23 10:27:22,1
Case No. 6,2,2018/03/23 10:30:51,1
Case No. 6,2,2018/03/23 10:32:11,1
Case No. 6,2,2018/03/23 10:34:19,1
Case No. 6,2,2018/03/23 10:37:55,1
Case No. 6,1,2018/03/23 11:12:02,1
Case No. 7,0,2018/03/23 11:35:41,3
Case No. 7,1,2018/03/23 11:45:34,1
Case No. 7,2,2018/03/23 11:48:23,2
Case No. 7,2,2018/03/23 12:03:38,1
Case No. 7,1,2018/03/23 12:34:23,1
Case No. 7,2,2018/03/23 12:45:09,1
Case No. 7,2,2018/03/23 13:01:01,1
Case No. 7,2,2018/03/23 13:01:31,1
Case No. 7,0,2018/03/23 13:22:32,1
Case No. 7,1,2018/03/23 13:37:49,1
Case No. 7,2,2018/03/23 13:52:10,1
Case No. 7,2,2018/03/23 14:13:26,1
Case No. 7,2,2018/03/23 14:21:14,1
Case No. 7,2,2018/03/23 14:24:09,1
Case No. 7,1,2018/03/23 15:17:02,1
Case No. 8,0,2018/03/23 15:45:42,1
Case No. 8,1,2018/03/23 16:38:36,1
Case No. 8,2,2018/03/23 16:40:44,2
Case No. 8,2,2018/03/23 16:46:27,1
Case No. 8,1,2018/03/23 16:53:36,1
Case No. 8,2,2018/03/23 16:59:43,1
Case No. 8,2,2018/03/23 17:02:29,1
Case No. 8,2,2018/03/23 17:14:29,1
Case No. 8,0,2018/03/23 17:16:36,1
Case No. 8,1,2018/03/23 17:38:51,1
Case No. 8,2,2018/03/23 17:49:09,1
Case No. 8,2,2018/03/23 17:59:52,1
Case No. 8,2,2018/03/23 18:46:02,1
