case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/18 04:14:35.841,2018/05/18 04:14:35.841,R1
Case No. 1,BookTransport,2018/05/18 04:43:52.841,2018/05/18 04:43:52.841,R2
Case No. 1,BookAccomodation,2018/05/18 04:56:29.841,2018/05/18 04:56:29.841,R1
Case No. 1,ApproveApplication,2018/05/18 05:07:03.841,2018/05/18 05:07:03.841,R1
Case No. 1,CollectTickets,2018/05/18 05:30:17.841,2018/05/18 05:30:17.841,R1
Case No. 1,ArchiveDocuments,2018/05/18 06:27:58.841,2018/05/18 06:27:58.841,R1
Case No. 1,DoSomethingDifferent,2018/05/18 06:38:39.841,2018/05/18 06:38:39.841,R2
Case No. 1,DoSomethingElse,2018/05/18 06:54:31.841,2018/05/18 06:54:31.841,R1
Case No. 1,DoSomething,2018/05/18 07:01:57.841,2018/05/18 07:01:57.841,R1
Case No. 1,UseTransport,2018/05/18 07:12:08.841,2018/05/18 07:12:08.841,R1
Case No. 1,DoSomething,2018/05/18 07:21:40.841,2018/05/18 07:21:40.841,R1
Case No. 1,DoSomething,2018/05/18 07:32:51.841,2018/05/18 07:32:51.841,R1
Case No. 1,DoSomethingElse,2018/05/18 07:35:53.841,2018/05/18 07:35:53.841,R1
Case No. 2,ApplyForTrip,2018/05/18 04:14:35.611,2018/05/18 04:14:35.611,R1
Case No. 2,BookTransport,2018/05/18 04:17:43.611,2018/05/18 04:17:43.611,R1
Case No. 2,BookAccomodation,2018/05/18 04:22:17.611,2018/05/18 04:22:17.611,R1
Case No. 2,ApproveApplication,2018/05/18 04:50:27.611,2018/05/18 04:50:27.611,R2
Case No. 2,CollectTickets,2018/05/18 04:58:01.611,2018/05/18 04:58:01.611,R1
Case No. 2,ArchiveDocuments,2018/05/18 05:05:08.611,2018/05/18 05:05:08.611,R2
Case No. 2,DoSomethingElse,2018/05/18 05:19:47.611,2018/05/18 05:19:47.611,R2
Case No. 2,DoSomething,2018/05/18 05:50:53.611,2018/05/18 05:50:53.611,R2
Case No. 2,DoSomethingDifferent,2018/05/18 05:59:32.611,2018/05/18 05:59:32.611,R1
Case No. 2,UseTransport,2018/05/18 06:22:40.611,2018/05/18 06:22:40.611,R1
Case No. 2,DoSomethingDifferent,2018/05/18 06:48:22.611,2018/05/18 06:48:22.611,R1
Case No. 2,DoSomething,2018/05/18 07:09:56.611,2018/05/18 07:09:56.611,R1
Case No. 2,DoSomethingElse,2018/05/18 07:39:26.611,2018/05/18 07:39:26.611,R1
Case No. 3,ApplyForTrip,2018/05/18 07:44:36.841,2018/05/18 07:44:36.841,R1
Case No. 3,BookTransport,2018/05/18 07:47:03.841,2018/05/18 07:47:03.841,R2
Case No. 3,BookAccomodation,2018/05/18 07:55:24.841,2018/05/18 07:55:24.841,R1
Case No. 3,ApproveApplication,2018/05/18 08:11:31.841,2018/05/18 08:11:31.841,R1
Case No. 3,CollectTickets,2018/05/18 08:18:29.841,2018/05/18 08:18:29.841,R1
Case No. 3,ArchiveDocuments,2018/05/18 08:18:42.841,2018/05/18 08:18:42.841,R1
Case No. 3,DoSomethingDifferent,2018/05/18 08:22:03.841,2018/05/18 08:22:03.841,R1
Case No. 3,DoSomethingElse,2018/05/18 08:22:28.841,2018/05/18 08:22:28.841,R1
Case No. 3,DoSomething,2018/05/18 08:39:39.841,2018/05/18 08:39:39.841,R1
Case No. 3,UseTransport,2018/05/18 09:33:00.841,2018/05/18 09:33:00.841,R1
Case No. 3,DoSomethingElse,2018/05/18 10:22:42.841,2018/05/18 10:22:42.841,R1
Case No. 3,DoSomething,2018/05/18 10:44:55.841,2018/05/18 10:44:55.841,R2
Case No. 3,DoSomething,2018/05/18 10:48:04.841,2018/05/18 10:48:04.841,R1
Case No. 4,ApplyForTrip,2018/05/18 08:14:45.611,2018/05/18 08:14:45.611,R1
Case No. 4,BookTransport,2018/05/18 08:56:27.611,2018/05/18 08:56:27.611,R1
Case No. 4,BookAccomodation,2018/05/18 08:58:45.611,2018/05/18 08:58:45.611,R1
Case No. 4,ApproveApplication,2018/05/18 09:28:26.611,2018/05/18 09:28:26.611,R2
Case No. 4,CollectTickets,2018/05/18 09:37:24.611,2018/05/18 09:37:24.611,R1
Case No. 4,ArchiveDocuments,2018/05/18 10:03:23.611,2018/05/18 10:03:23.611,R1
Case No. 4,DoSomethingElse,2018/05/18 10:11:55.611,2018/05/18 10:11:55.611,R2
Case No. 4,DoSomething,2018/05/18 10:22:58.611,2018/05/18 10:22:58.611,R2
Case No. 4,DoSomethingDifferent,2018/05/18 10:28:39.611,2018/05/18 10:28:39.611,R1
Case No. 4,UseTransport,2018/05/18 10:33:18.611,2018/05/18 10:33:18.611,R1
Case No. 4,DoSomethingElse,2018/05/18 10:35:15.611,2018/05/18 10:35:15.611,R1
Case No. 4,DoSomething,2018/05/18 11:07:01.611,2018/05/18 11:07:01.611,R1
Case No. 4,DoSomething,2018/05/18 11:29:00.611,2018/05/18 11:29:00.611,R1
Case No. 5,ApplyForTrip,2018/05/18 13:27:27.841,2018/05/18 13:27:27.841,R1
Case No. 5,BookTransport,2018/05/18 13:32:34.841,2018/05/18 13:32:34.841,R1
Case No. 5,BookAccomodation,2018/05/18 14:09:52.841,2018/05/18 14:09:52.841,R1
Case No. 5,ApproveApplication,2018/05/18 14:13:21.841,2018/05/18 14:13:21.841,R1
Case No. 5,CollectTickets,2018/05/18 14:18:37.841,2018/05/18 14:18:37.841,R1
Case No. 5,ArchiveDocuments,2018/05/18 14:32:57.841,2018/05/18 14:32:57.841,R1
Case No. 5,DoSomethingDifferent,2018/05/18 14:41:04.841,2018/05/18 14:41:04.841,R1
Case No. 5,DoSomethingElse,2018/05/18 14:47:00.841,2018/05/18 14:47:00.841,R1
Case No. 5,DoSomething,2018/05/18 14:53:47.841,2018/05/18 14:53:47.841,R1
Case No. 5,UseTransport,2018/05/18 14:56:07.841,2018/05/18 14:56:07.841,R1
Case No. 5,DoSomething,2018/05/18 15:14:35.841,2018/05/18 15:14:35.841,R1
Case No. 5,DoSomething,2018/05/18 15:34:55.841,2018/05/18 15:34:55.841,R2
Case No. 5,DoSomething,2018/05/18 15:43:00.841,2018/05/18 15:43:00.841,R1
Case No. 6,ApplyForTrip,2018/05/18 04:09:03.609,2018/05/18 04:09:03.609,R1
Case No. 6,BookTransport,2018/05/18 04:13:47.609,2018/05/18 04:13:47.609,R1
Case No. 6,BookAccomodation,2018/05/18 04:30:45.609,2018/05/18 04:30:45.609,R1
Case No. 6,ApproveApplication,2018/05/18 05:07:26.609,2018/05/18 05:07:26.609,R1
Case No. 6,CollectTickets,2018/05/18 05:27:24.609,2018/05/18 05:27:24.609,R1
Case No. 6,ArchiveDocuments,2018/05/18 05:31:43.609,2018/05/18 05:31:43.609,R1
Case No. 6,DoSomethingElse,2018/05/18 05:52:56.609,2018/05/18 05:52:56.609,R2
Case No. 6,DoSomething,2018/05/18 05:53:01.609,2018/05/18 05:53:01.609,R1
Case No. 6,DoSomething,2018/05/18 05:59:58.609,2018/05/18 05:59:58.609,R2
Case No. 6,DoSomethingDifferent,2018/05/18 06:24:45.609,2018/05/18 06:24:45.609,R1
Case No. 6,UseTransport,2018/05/18 06:30:05.609,2018/05/18 06:30:05.609,R1
Case No. 6,DoSomethingDifferent,2018/05/18 06:43:09.609,2018/05/18 06:43:09.609,R1
Case No. 6,DoSomething,2018/05/18 07:28:12.609,2018/05/18 07:28:12.609,R1
Case No. 6,DoSomethingElse,2018/05/18 07:29:46.609,2018/05/18 07:29:46.609,R1
Case No. 7,ApplyForTrip,2018/05/18 15:50:16.841,2018/05/18 15:50:16.841,R1
Case No. 7,BookTransport,2018/05/18 16:03:36.841,2018/05/18 16:03:36.841,R1
Case No. 7,BookAccomodation,2018/05/18 16:33:31.841,2018/05/18 16:33:31.841,R1
Case No. 7,ApproveApplication,2018/05/18 17:02:38.841,2018/05/18 17:02:38.841,R1
Case No. 7,CollectTickets,2018/05/18 17:08:38.841,2018/05/18 17:08:38.841,R1
Case No. 7,ArchiveDocuments,2018/05/18 17:10:34.841,2018/05/18 17:10:34.841,R1
