case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/05/18 04:38:59.884,2018/05/18 04:38:59.884,R4
Case No. 1,BookTransport,2018/05/18 05:04:51.884,2018/05/18 05:04:51.884,R5
Case No. 1,BookAccomodation,2018/05/18 05:14:35.884,2018/05/18 05:14:35.884,R5
Case No. 1,ApproveApplication,2018/05/18 05:17:27.884,2018/05/18 05:17:27.884,R5
Case No. 1,CollectTickets,2018/05/18 05:20:41.884,2018/05/18 05:20:41.884,R5
Case No. 1,ArchiveDocuments,2018/05/18 05:56:18.884,2018/05/18 05:56:18.884,R5
Case No. 1,UseTransport,2018/05/18 06:05:12.884,2018/05/18 06:05:12.884,R4
Case No. 1,DoSomethingElse,2018/05/18 06:10:25.884,2018/05/18 06:10:25.884,R4
Case No. 1,DoSomethingDifferent,2018/05/18 06:13:08.884,2018/05/18 06:13:08.884,R4
Case No. 1,UseTransport,2018/05/18 06:32:22.884,2018/05/18 06:32:22.884,R5
Case No. 1,DoSomethingDifferent,2018/05/18 06:55:14.884,2018/05/18 06:55:14.884,R5
Case No. 1,UseTransport,2018/05/18 06:59:23.884,2018/05/18 06:59:23.884,R5
Case No. 1,DoSomethingDifferent,2018/05/18 07:34:16.884,2018/05/18 07:34:16.884,R5
Case No. 1,DoSomethingElse,2018/05/18 07:37:10.884,2018/05/18 07:37:10.884,R1
Case No. 1,UseTransport,2018/05/18 07:41:54.884,2018/05/18 07:41:54.884,R2
Case No. 1,UseTransport,2018/05/18 07:53:28.884,2018/05/18 07:53:28.884,R4
Case No. 1,ArchiveDocuments,2018/05/18 08:11:43.884,2018/05/18 08:11:43.884,R1
Case No. 2,ApplyForTrip,2018/05/18 04:22:12.288,2018/05/18 04:22:12.288,R4
Case No. 2,BookTransport,2018/05/18 04:32:25.288,2018/05/18 04:32:25.288,R4
Case No. 2,BookAccomodation,2018/05/18 04:55:18.288,2018/05/18 04:55:18.288,R4
Case No. 2,ApproveApplication,2018/05/18 05:30:17.288,2018/05/18 05:30:17.288,R4
Case No. 2,CollectTickets,2018/05/18 06:09:07.288,2018/05/18 06:09:07.288,R5
Case No. 2,ArchiveDocuments,2018/05/18 06:23:32.288,2018/05/18 06:23:32.288,R4
Case No. 2,DoSomething,2018/05/18 06:27:20.288,2018/05/18 06:27:20.288,R3
Case No. 2,UseTransport,2018/05/18 06:41:31.288,2018/05/18 06:41:31.288,R3
