case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/04/19 15:46:19.360,2018/04/19 15:46:19.360,R4
Case No. 1,DoSomethingElse,2018/04/19 15:49:12.360,2018/04/19 15:49:12.360,R4
Case No. 1,DoSomething,2018/04/19 16:07:02.360,2018/04/19 16:07:02.360,R3
Case No. 1,DoSomething,2018/04/19 16:18:40.360,2018/04/19 16:18:40.360,R4
Case No. 1,ApproveApplication,2018/04/19 16:24:30.360,2018/04/19 16:24:30.360,R4
Case No. 1,DoSomethingElse,2018/04/19 17:23:23.360,2018/04/19 17:23:23.360,R4
Case No. 1,BookAccomodation,2018/04/19 17:23:33.360,2018/04/19 17:23:33.360,R4
Case No. 1,DoSomething,2018/04/19 17:33:11.360,2018/04/19 17:33:11.360,R4
Case No. 1,BookTransport,2018/04/19 17:33:20.360,2018/04/19 17:33:20.360,R2
Case No. 1,CollectTickets,2018/04/19 17:36:47.360,2018/04/19 17:36:47.360,R4
Case No. 1,CollectTickets,2018/04/19 17:43:04.360,2018/04/19 17:43:04.360,R4
Case No. 1,ArchiveDocuments,2018/04/19 19:02:11.360,2018/04/19 19:02:11.360,R4
Case No. 1,UseTransport,2018/04/19 19:22:31.360,2018/04/19 19:22:31.360,R3
Case No. 1,DoSomething,2018/04/19 19:30:02.360,2018/04/19 19:30:02.360,R3
Case No. 1,BookAccomodation,2018/04/19 19:31:08.360,2018/04/19 19:31:08.360,R4
Case No. 2,ApplyForTrip,2018/04/19 17:09:08.494,2018/04/19 17:09:08.494,R4
Case No. 2,DoSomething,2018/04/19 17:14:26.494,2018/04/19 17:14:26.494,R4
Case No. 2,DoSomething,2018/04/19 17:17:28.494,2018/04/19 17:17:28.494,R4
Case No. 2,ApproveApplication,2018/04/19 17:19:33.494,2018/04/19 17:19:33.494,R3
Case No. 2,BookAccomodation,2018/04/19 17:59:02.494,2018/04/19 17:59:02.494,R2
Case No. 2,BookTransport,2018/04/19 18:10:53.494,2018/04/19 18:10:53.494,R2
Case No. 2,DoSomethingElse,2018/04/19 18:20:12.494,2018/04/19 18:20:12.494,R2
Case No. 2,CollectTickets,2018/04/19 18:20:43.494,2018/04/19 18:20:43.494,R4
Case No. 2,DoSomethingElse,2018/04/19 18:34:30.494,2018/04/19 18:34:30.494,R3
Case No. 2,DoSomethingElse,2018/04/19 18:34:36.494,2018/04/19 18:34:36.494,R3
Case No. 2,UseTransport,2018/04/19 18:48:27.494,2018/04/19 18:48:27.494,R4
Case No. 2,DoSomething,2018/04/19 19:21:00.494,2018/04/19 19:21:00.494,R2
Case No. 2,DoSomething,2018/04/19 19:27:51.494,2018/04/19 19:27:51.494,R2
Case No. 2,BookTransport,2018/04/19 19:28:43.494,2018/04/19 19:28:43.494,R4
Case No. 2,ArchiveDocuments,2018/04/19 19:33:37.494,2018/04/19 19:33:37.494,R4
Case No. 3,ApplyForTrip,2018/04/19 15:51:31.339,2018/04/19 15:51:31.339,R4
Case No. 3,ApproveApplication,2018/04/19 15:55:07.339,2018/04/19 15:55:07.339,R4
Case No. 3,BookTransport,2018/04/19 16:12:18.339,2018/04/19 16:12:18.339,R4
Case No. 3,DoSomething,2018/04/19 16:14:11.339,2018/04/19 16:14:11.339,R4
Case No. 3,BookTransport,2018/04/19 16:17:11.339,2018/04/19 16:17:11.339,R4
Case No. 3,BookAccomodation,2018/04/19 16:27:11.339,2018/04/19 16:27:11.339,R4
Case No. 3,DoSomethingElse,2018/04/19 16:30:45.339,2018/04/19 16:30:45.339,R4
Case No. 3,CollectTickets,2018/04/19 16:45:19.339,2018/04/19 16:45:19.339,R4
Case No. 3,DoSomething,2018/04/19 17:06:34.339,2018/04/19 17:06:34.339,R3
Case No. 3,BookTransport,2018/04/19 17:40:13.339,2018/04/19 17:40:13.339,R2
Case No. 3,DoSomething,2018/04/19 17:56:13.339,2018/04/19 17:56:13.339,R4
Case No. 3,CollectTickets,2018/04/19 18:11:15.339,2018/04/19 18:11:15.339,R4
Case No. 3,UseTransport,2018/04/19 18:12:15.339,2018/04/19 18:12:15.339,R4
Case No. 3,DoSomething,2018/04/19 18:51:07.339,2018/04/19 18:51:07.339,R1
Case No. 3,ArchiveDocuments,2018/04/19 19:34:40.339,2018/04/19 19:34:40.339,R4
Case No. 4,ApplyForTrip,2018/04/19 19:45:17.360,2018/04/19 19:45:17.360,R4
Case No. 4,DoSomething,2018/04/19 19:51:00.360,2018/04/19 19:51:00.360,R4
Case No. 4,DoSomethingElse,2018/04/19 19:55:59.360,2018/04/19 19:55:59.360,R3
Case No. 4,ApproveApplication,2018/04/19 20:13:41.360,2018/04/19 20:13:41.360,R1
Case No. 4,DoSomethingElse,2018/04/19 20:16:30.360,2018/04/19 20:16:30.360,R4
Case No. 4,BookAccomodation,2018/04/19 20:16:45.360,2018/04/19 20:16:45.360,R4
Case No. 4,DoSomethingElse,2018/04/19 20:30:38.360,2018/04/19 20:30:38.360,R2
Case No. 4,DoSomethingElse,2018/04/19 20:32:39.360,2018/04/19 20:32:39.360,R4
Case No. 4,BookTransport,2018/04/19 21:04:18.360,2018/04/19 21:04:18.360,R4
Case No. 4,CollectTickets,2018/04/19 21:32:14.360,2018/04/19 21:32:14.360,R4
Case No. 4,CollectTickets,2018/04/19 21:49:42.360,2018/04/19 21:49:42.360,R3
Case No. 4,ArchiveDocuments,2018/04/19 22:31:28.360,2018/04/19 22:31:28.360,R4
Case No. 4,BookTransport,2018/04/19 22:31:51.360,2018/04/19 22:31:51.360,R2
Case No. 4,UseTransport,2018/04/19 22:57:37.360,2018/04/19 22:57:37.360,R4
Case No. 4,DoSomething,2018/04/19 23:06:25.360,2018/04/19 23:06:25.360,R3
Case No. 5,ApplyForTrip,2018/04/19 23:45:18.360,2018/04/19 23:45:18.360,R4
Case No. 5,ApproveApplication,2018/04/19 23:59:21.360,2018/04/19 23:59:21.360,R4
Case No. 5,BookTransport,2018/04/20 00:23:16.360,2018/04/20 00:23:16.360,R4
Case No. 5,DoSomethingElse,2018/04/20 00:32:24.360,2018/04/20 00:32:24.360,R4
Case No. 5,DoSomething,2018/04/20 01:16:50.360,2018/04/20 01:16:50.360,R4
Case No. 5,BookAccomodation,2018/04/20 01:23:53.360,2018/04/20 01:23:53.360,R4
Case No. 5,CollectTickets,2018/04/20 01:26:52.360,2018/04/20 01:26:52.360,R4
Case No. 5,ArchiveDocuments,2018/04/20 01:29:36.360,2018/04/20 01:29:36.360,R4
Case No. 5,UseTransport,2018/04/20 01:47:07.360,2018/04/20 01:47:07.360,R4
Case No. 5,DoSomething,2018/04/20 01:50:22.360,2018/04/20 01:50:22.360,R3
Case No. 5,DoSomething,2018/04/20 01:53:21.360,2018/04/20 01:53:21.360,R4
Case No. 5,BookAccomodation,2018/04/20 01:55:01.360,2018/04/20 01:55:01.360,R4
Case No. 5,BookTransport,2018/04/20 02:06:41.360,2018/04/20 02:06:41.360,R2
Case No. 5,DoSomething,2018/04/20 03:01:56.360,2018/04/20 03:01:56.360,R3
Case No. 5,BookTransport,2018/04/20 03:05:52.360,2018/04/20 03:05:52.360,R3
Case No. 6,ApplyForTrip,2018/04/20 03:42:48.360,2018/04/20 03:42:48.360,R4
Case No. 6,DoSomethingElse,2018/04/20 03:45:55.360,2018/04/20 03:45:55.360,R4
Case No. 6,DoSomethingElse,2018/04/20 04:00:41.360,2018/04/20 04:00:41.360,R4
Case No. 6,ApproveApplication,2018/04/20 04:03:01.360,2018/04/20 04:03:01.360,R4
Case No. 6,BookAccomodation,2018/04/20 04:09:02.360,2018/04/20 04:09:02.360,R4
Case No. 6,BookTransport,2018/04/20 04:27:52.360,2018/04/20 04:27:52.360,R4
Case No. 6,UseTransport,2018/04/20 04:37:16.360,2018/04/20 04:37:16.360,R4
Case No. 6,DoSomething,2018/04/20 04:45:51.360,2018/04/20 04:45:51.360,R4
Case No. 6,DoSomethingElse,2018/04/20 04:51:53.360,2018/04/20 04:51:53.360,R2
Case No. 6,BookTransport,2018/04/20 05:28:55.360,2018/04/20 05:28:55.360,R2
Case No. 6,UseTransport,2018/04/20 06:13:25.360,2018/04/20 06:13:25.360,R4
Case No. 6,DoSomething,2018/04/20 06:26:51.360,2018/04/20 06:26:51.360,R3
Case No. 6,CollectTickets,2018/04/20 06:35:40.360,2018/04/20 06:35:40.360,R4
Case No. 6,ArchiveDocuments,2018/04/20 07:00:29.360,2018/04/20 07:00:29.360,R4
Case No. 6,DoSomethingElse,2018/04/20 07:12:42.360,2018/04/20 07:12:42.360,R4
Case No. 7,ApplyForTrip,2018/04/19 19:50:07.494,2018/04/19 19:50:07.494,R3
Case No. 7,DoSomethingElse,2018/04/19 19:55:09.494,2018/04/19 19:55:09.494,R4
Case No. 7,ApproveApplication,2018/04/19 20:01:52.494,2018/04/19 20:01:52.494,R2
Case No. 7,DoSomething,2018/04/19 21:13:14.494,2018/04/19 21:13:14.494,R4
Case No. 7,BookAccomodation,2018/04/19 21:32:54.494,2018/04/19 21:32:54.494,R3
Case No. 7,BookTransport,2018/04/19 21:59:13.494,2018/04/19 21:59:13.494,R2
Case No. 7,CollectTickets,2018/04/19 22:15:58.494,2018/04/19 22:15:58.494,R4
Case No. 7,UseTransport,2018/04/19 22:34:29.494,2018/04/19 22:34:29.494,R3
Case No. 7,DoSomething,2018/04/19 22:55:33.494,2018/04/19 22:55:33.494,R2
Case No. 7,BookAccomodation,2018/04/19 23:09:26.494,2018/04/19 23:09:26.494,R4
Case No. 7,BookTransport,2018/04/19 23:13:42.494,2018/04/19 23:13:42.494,R4
