case,event,startTime,completeTime,Resource
Case No. 1,ApplyForTrip,2018/04/24 15:17:54.045,2018/04/24 15:17:54.045,R5
Case No. 1,ApproveApplication,2018/04/24 16:02:56.045,2018/04/24 16:02:56.045,R5
Case No. 1,BookTransport,2018/04/24 16:03:36.045,2018/04/24 16:03:36.045,R2
Case No. 1,UseTransport,2018/04/24 16:27:04.045,2018/04/24 16:27:04.045,R5
Case No. 1,BookAccomodation,2018/04/24 16:33:02.045,2018/04/24 16:33:02.045,R2
Case No. 1,DoSomethingElse,2018/04/24 17:08:36.045,2018/04/24 17:08:36.045,R3
Case No. 1,UseTransport,2018/04/24 17:09:48.045,2018/04/24 17:09:48.045,R5
Case No. 1,CollectTickets,2018/04/24 17:10:02.045,2018/04/24 17:10:02.045,R5
Case No. 1,DoSomething,2018/04/24 18:13:23.045,2018/04/24 18:13:23.045,R3
Case No. 1,ArchiveDocuments,2018/04/24 18:16:16.045,2018/04/24 18:16:16.045,R5
Case No. 2,ApplyForTrip,2018/04/24 17:41:45.943,2018/04/24 17:41:45.943,R5
Case No. 2,ArchiveDocuments,2018/04/24 18:25:46.943,2018/04/24 18:25:46.943,R5
Case No. 2,BookAccomodation,2018/04/24 18:35:51.943,2018/04/24 18:35:51.943,R4
Case No. 2,BookAccomodation,2018/04/24 18:39:14.943,2018/04/24 18:39:14.943,R5
Case No. 2,UseTransport,2018/04/24 18:46:20.943,2018/04/24 18:46:20.943,R5
Case No. 2,ApproveApplication,2018/04/24 19:27:31.943,2018/04/24 19:27:31.943,R5
Case No. 2,CollectTickets,2018/04/24 19:35:47.943,2018/04/24 19:35:47.943,R5
Case No. 2,BookTransport,2018/04/24 20:35:51.943,2018/04/24 20:35:51.943,R2
Case No. 2,UseTransport,2018/04/24 20:41:36.943,2018/04/24 20:41:36.943,R5
Case No. 2,DoSomething,2018/04/24 20:45:40.943,2018/04/24 20:45:40.943,R1
Case No. 3,ApplyForTrip,2018/04/24 17:12:01.058,2018/04/24 17:12:01.058,R5
Case No. 3,BookAccomodation,2018/04/24 17:38:10.058,2018/04/24 17:38:10.058,R5
Case No. 3,DoSomething,2018/04/24 18:18:09.058,2018/04/24 18:18:09.058,R5
