CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-04-24 15:17:54,0
Case No. 1,0,2018-04-24 15:17:54,0
Case No. 1,1,2018-04-24 16:02:56,0
Case No. 1,2,2018-04-24 16:03:36,1
Case No. 1,3,2018-04-24 16:27:04,0
Case No. 1,4,2018-04-24 16:33:02,1
Case No. 1,5,2018-04-24 17:08:36,2
Case No. 1,3,2018-04-24 17:09:48,0
Case No. 1,6,2018-04-24 17:10:02,0
Case No. 1,7,2018-04-24 18:13:23,2
Case No. 1,8,2018-04-24 18:16:16,0
Case No. 2,0,2018-04-24 17:41:45,0
Case No. 2,8,2018-04-24 18:25:46,0
Case No. 2,4,2018-04-24 18:35:51,3
Case No. 2,4,2018-04-24 18:39:14,0
Case No. 2,3,2018-04-24 18:46:20,0
Case No. 2,1,2018-04-24 19:27:31,0
Case No. 2,6,2018-04-24 19:35:47,0
Case No. 2,2,2018-04-24 20:35:51,1
Case No. 2,3,2018-04-24 20:41:36,0
Case No. 2,7,2018-04-24 20:45:40,4
Case No. 3,0,2018-04-24 17:12:01,0
Case No. 3,4,2018-04-24 17:38:10,0
Case No. 3,7,2018-04-24 18:18:09,0
Case No. 3,7,2018-04-24 18:50:02,0
Case No. 3,8,2018-04-24 19:01:41,0
Case No. 3,1,2018-04-24 19:13:59,0
Case No. 3,6,2018-04-24 20:02:49,3
Case No. 3,4,2018-04-24 20:10:04,2
Case No. 3,2,2018-04-24 20:25:47,1
Case No. 3,5,2018-04-24 20:38:30,4
Case No. 4,0,2018-04-24 19:02:21,0
Case No. 4,1,2018-04-24 19:20:57,1
Case No. 4,4,2018-04-24 19:41:53,2
Case No. 4,3,2018-04-24 19:45:46,0
Case No. 4,7,2018-04-24 20:33:40,0
Case No. 4,6,2018-04-24 20:55:18,0
Case No. 4,8,2018-04-24 21:04:53,0
Case No. 4,4,2018-04-24 21:23:00,0
Case No. 4,2,2018-04-24 21:55:18,1
Case No. 4,7,2018-04-24 22:30:29,2
Case No. 5,0,2018-04-24 23:24:21,4
Case No. 5,6,2018-04-24 23:51:26,0
Case No. 5,6,2018-04-25 00:12:01,0
Case No. 5,1,2018-04-25 00:23:50,4
Case No. 5,7,2018-04-25 00:36:24,1
Case No. 5,6,2018-04-25 00:41:55,1
Case No. 5,2,2018-04-25 01:12:45,1
Case No. 5,8,2018-04-25 01:34:04,2
Case No. 5,7,2018-04-25 02:35:20,2
Case No. 5,4,2018-04-25 02:59:57,0
Case No. 6,0,2018-04-24 21:44:47,0
Case No. 6,8,2018-04-24 21:47:29,0
Case No. 6,1,2018-04-24 21:56:13,0
Case No. 6,4,2018-04-24 22:33:05,1
Case No. 6,3,2018-04-24 23:05:13,0
Case No. 6,4,2018-04-24 23:10:07,0
Case No. 6,6,2018-04-24 23:11:22,0
Case No. 6,2,2018-04-24 23:14:10,1
Case No. 6,4,2018-04-24 23:52:03,0
Case No. 6,7,2018-04-25 01:05:33,4
Case No. 7,0,2018-04-24 21:19:51,0
Case No. 7,4,2018-04-24 21:28:47,3
Case No. 7,1,2018-04-24 21:38:32,2
Case No. 7,3,2018-04-24 21:57:22,0
Case No. 7,8,2018-04-24 22:13:58,0
Case No. 7,7,2018-04-24 22:51:49,0
Case No. 7,2,2018-04-24 23:36:52,1
Case No. 7,6,2018-04-24 23:59:10,0
Case No. 7,6,2018-04-25 00:55:05,4
Case No. 7,5,2018-04-25 01:05:36,4
Case No. 8,0,2018-04-25 03:28:26,0
Case No. 8,6,2018-04-25 03:30:46,0
