CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-05-18 04:38:59,0
Case No. 1,0,2018-05-18 04:38:59,0
Case No. 1,1,2018-05-18 05:04:51,1
Case No. 1,2,2018-05-18 05:14:35,1
Case No. 1,3,2018-05-18 05:17:27,1
Case No. 1,4,2018-05-18 05:20:41,1
Case No. 1,5,2018-05-18 05:56:18,1
Case No. 1,6,2018-05-18 06:05:12,0
Case No. 1,7,2018-05-18 06:10:25,0
Case No. 1,8,2018-05-18 06:13:08,0
Case No. 1,6,2018-05-18 06:32:22,1
Case No. 1,8,2018-05-18 06:55:14,1
Case No. 1,6,2018-05-18 06:59:23,1
Case No. 1,8,2018-05-18 07:34:16,1
Case No. 1,7,2018-05-18 07:37:10,2
Case No. 1,6,2018-05-18 07:41:54,3
Case No. 1,6,2018-05-18 07:53:28,0
Case No. 1,5,2018-05-18 08:11:43,2
Case No. 2,0,2018-05-18 04:22:12,0
Case No. 2,1,2018-05-18 04:32:25,0
Case No. 2,2,2018-05-18 04:55:18,0
Case No. 2,3,2018-05-18 05:30:17,0
Case No. 2,4,2018-05-18 06:09:07,1
Case No. 2,5,2018-05-18 06:23:32,0
Case No. 2,9,2018-05-18 06:27:20,4
Case No. 2,6,2018-05-18 06:41:31,4
Case No. 2,9,2018-05-18 06:49:30,3
Case No. 2,9,2018-05-18 06:58:17,0
Case No. 2,8,2018-05-18 07:03:22,3
Case No. 2,9,2018-05-18 07:18:59,2
Case No. 2,7,2018-05-18 07:23:43,4
Case No. 2,9,2018-05-18 07:33:40,1
Case No. 2,9,2018-05-18 07:36:55,2
Case No. 2,7,2018-05-18 07:51:49,0
Case No. 2,7,2018-05-18 08:01:59,1
Case No. 3,10,2018-05-18 04:48:20,1
Case No. 3,11,2018-05-18 04:51:07,0
Case No. 3,12,2018-05-18 04:58:46,0
Case No. 3,13,2018-05-18 05:09:12,0
Case No. 3,14,2018-05-18 05:11:01,4
Case No. 3,15,2018-05-18 05:25:40,0
Case No. 3,6,2018-05-18 05:59:50,1
Case No. 3,8,2018-05-18 06:02:47,1
Case No. 3,8,2018-05-18 06:06:10,0
Case No. 3,7,2018-05-18 06:32:50,2
Case No. 3,15,2018-05-18 06:44:36,4
Case No. 3,8,2018-05-18 06:48:15,4
Case No. 3,6,2018-05-18 06:50:35,0
Case No. 3,7,2018-05-18 06:52:52,0
Case No. 3,6,2018-05-18 06:57:07,3
Case No. 3,5,2018-05-18 07:45:15,2
Case No. 3,16,2018-05-18 07:49:24,4
Case No. 4,10,2018-05-18 04:48:55,1
Case No. 4,11,2018-05-18 04:58:06,1
Case No. 4,12,2018-05-18 04:59:07,1
Case No. 4,13,2018-05-18 05:09:42,0
Case No. 4,14,2018-05-18 05:20:25,1
Case No. 4,15,2018-05-18 05:34:04,4
Case No. 4,9,2018-05-18 05:55:44,1
Case No. 4,9,2018-05-18 06:09:22,4
Case No. 4,8,2018-05-18 06:14:11,3
Case No. 4,7,2018-05-18 06:21:49,4
Case No. 4,17,2018-05-18 06:44:32,4
Case No. 4,18,2018-05-18 07:29:43,4
Case No. 4,18,2018-05-18 07:41:56,4
Case No. 4,8,2018-05-18 07:43:19,4
Case No. 4,7,2018-05-18 07:45:37,1
Case No. 4,9,2018-05-18 08:06:09,0
Case No. 4,7,2018-05-18 08:15:09,0
Case No. 5,19,2018-05-18 04:32:41,0
Case No. 5,20,2018-05-18 04:35:26,4
Case No. 5,21,2018-05-18 04:50:19,1
Case No. 5,22,2018-05-18 04:55:39,0
Case No. 5,23,2018-05-18 05:12:51,4
Case No. 5,24,2018-05-18 05:24:02,0
Case No. 5,6,2018-05-18 05:30:56,1
Case No. 5,8,2018-05-18 05:38:23,1
Case No. 5,8,2018-05-18 05:42:53,0
Case No. 5,7,2018-05-18 05:43:36,2
Case No. 5,24,2018-05-18 05:48:55,4
Case No. 5,8,2018-05-18 06:23:19,4
Case No. 5,6,2018-05-18 07:20:36,0
Case No. 5,7,2018-05-18 07:52:40,0
Case No. 5,6,2018-05-18 08:05:25,3
Case No. 5,5,2018-05-18 08:12:01,2
Case No. 5,25,2018-05-18 08:13:09,4
Case No. 6,0,2018-05-18 04:27:52,0
Case No. 6,1,2018-05-18 04:36:52,4
Case No. 6,2,2018-05-18 04:37:54,1
Case No. 6,3,2018-05-18 04:51:05,1
Case No. 6,4,2018-05-18 05:00:50,1
Case No. 6,5,2018-05-18 05:04:59,4
Case No. 6,9,2018-05-18 05:09:17,2
Case No. 6,7,2018-05-18 05:22:37,2
Case No. 6,9,2018-05-18 05:24:36,4
Case No. 6,9,2018-05-18 05:46:24,4
Case No. 6,3,2018-05-18 05:46:36,2
Case No. 6,4,2018-05-18 06:27:46,2
Case No. 6,5,2018-05-18 07:16:33,2
Case No. 6,8,2018-05-18 07:40:04,0
Case No. 6,9,2018-05-18 07:51:35,3
Case No. 6,7,2018-05-18 07:56:57,4
Case No. 6,7,2018-05-18 08:23:40,1
Case No. 7,26,2018-05-18 04:30:59,0
Case No. 7,27,2018-05-18 04:33:14,4
Case No. 7,28,2018-05-18 04:41:35,1
Case No. 7,29,2018-05-18 04:56:07,0
Case No. 7,30,2018-05-18 05:15:00,4
Case No. 7,31,2018-05-18 05:37:58,0
Case No. 7,6,2018-05-18 05:43:24,1
Case No. 7,8,2018-05-18 06:02:46,1
Case No. 7,8,2018-05-18 06:12:46,0
Case No. 7,7,2018-05-18 06:14:05,2
Case No. 7,31,2018-05-18 06:36:53,4
Case No. 7,8,2018-05-18 06:38:03,4
Case No. 7,6,2018-05-18 06:40:23,0
Case No. 7,7,2018-05-18 06:45:44,0
Case No. 7,6,2018-05-18 07:14:26,3
Case No. 7,5,2018-05-18 07:22:45,2
Case No. 7,32,2018-05-18 07:57:40,4
Case No. 8,19,2018-05-18 04:31:46,1
Case No. 8,20,2018-05-18 05:00:41,1
Case No. 8,21,2018-05-18 05:28:21,1
Case No. 8,22,2018-05-18 05:34:14,1
Case No. 8,23,2018-05-18 05:44:13,1
Case No. 8,24,2018-05-18 05:44:14,4
Case No. 8,9,2018-05-18 06:01:02,1
Case No. 8,9,2018-05-18 06:05:22,4
Case No. 8,8,2018-05-18 06:13:59,3
Case No. 8,7,2018-05-18 06:24:40,4
Case No. 8,33,2018-05-18 06:52:15,4
Case No. 8,34,2018-05-18 06:52:33,4
Case No. 8,34,2018-05-18 06:53:38,4
Case No. 8,8,2018-05-18 07:20:04,4
Case No. 8,7,2018-05-18 07:25:23,1
Case No. 8,9,2018-05-18 07:56:35,0
Case No. 8,7,2018-05-18 08:02:28,0
Case No. 9,0,2018-05-18 04:56:06,1
Case No. 9,2,2018-05-18 05:10:55,0
Case No. 9,1,2018-05-18 05:22:31,0
Case No. 9,3,2018-05-18 05:45:13,0
Case No. 9,6,2018-05-18 05:48:21,0
Case No. 9,2,2018-05-18 06:00:07,4
Case No. 9,8,2018-05-18 06:35:19,4
Case No. 9,4,2018-05-18 06:42:56,4
Case No. 9,9,2018-05-18 06:53:08,1
Case No. 9,4,2018-05-18 07:15:03,1
Case No. 9,5,2018-05-18 07:29:35,4
Case No. 9,8,2018-05-18 07:41:48,2
Case No. 9,8,2018-05-18 07:47:06,2
Case No. 9,8,2018-05-18 07:59:13,2
Case No. 9,8,2018-05-18 08:01:27,2
Case No. 9,8,2018-05-18 08:02:26,2
Case No. 9,8,2018-05-18 08:25:37,1
Case No. 10,10,2018-05-18 04:27:46,1
Case No. 10,11,2018-05-18 04:32:59,1
Case No. 10,12,2018-05-18 04:39:12,1
Case No. 10,13,2018-05-18 05:04:20,1
Case No. 10,14,2018-05-18 05:07:03,1
Case No. 10,15,2018-05-18 05:14:33,4
Case No. 10,9,2018-05-18 05:20:25,2
Case No. 10,9,2018-05-18 05:41:09,4
Case No. 10,9,2018-05-18 05:44:22,3
Case No. 10,7,2018-05-18 06:16:41,4
Case No. 10,8,2018-05-18 06:26:51,0
Case No. 10,7,2018-05-18 06:35:12,1
Case No. 10,18,2018-05-18 07:29:55,2
Case No. 10,9,2018-05-18 07:45:19,0
Case No. 10,9,2018-05-18 07:46:13,0
Case No. 10,7,2018-05-18 07:55:20,2
Case No. 10,8,2018-05-18 08:11:37,2
Case No. 11,35,2018-05-18 04:17:30,1
Case No. 11,36,2018-05-18 04:18:55,0
Case No. 11,37,2018-05-18 04:28:32,1
Case No. 11,38,2018-05-18 04:30:58,1
Case No. 11,39,2018-05-18 04:47:29,0
Case No. 11,40,2018-05-18 05:14:02,1
Case No. 11,41,2018-05-18 05:25:31,1
Case No. 11,42,2018-05-18 05:36:06,1
Case No. 11,42,2018-05-18 05:43:57,0
Case No. 11,43,2018-05-18 05:53:42,2
Case No. 11,41,2018-05-18 07:07:26,0
Case No. 11,43,2018-05-18 07:22:21,0
Case No. 11,41,2018-05-18 07:25:10,3
Case No. 11,44,2018-05-18 07:39:17,2
Case No. 11,42,2018-05-18 08:02:01,2
Case No. 11,40,2018-05-18 08:08:07,2
Case No. 11,42,2018-05-18 08:13:34,4
Case No. 12,26,2018-05-18 04:26:57,1
Case No. 12,27,2018-05-18 04:28:00,1
Case No. 12,28,2018-05-18 04:43:54,1
Case No. 12,29,2018-05-18 04:50:53,1
Case No. 12,30,2018-05-18 05:13:16,1
Case No. 12,31,2018-05-18 05:17:31,4
Case No. 12,9,2018-05-18 05:23:46,1
Case No. 12,9,2018-05-18 05:24:53,4
Case No. 12,8,2018-05-18 05:39:26,3
Case No. 12,7,2018-05-18 05:42:10,4
Case No. 12,45,2018-05-18 06:06:56,4
Case No. 12,46,2018-05-18 06:53:05,4
Case No. 12,46,2018-05-18 07:33:39,4
Case No. 12,8,2018-05-18 07:47:00,4
Case No. 12,7,2018-05-18 07:50:46,1
Case No. 12,9,2018-05-18 07:55:06,0
Case No. 12,7,2018-05-18 08:14:43,0
Case No. 13,0,2018-05-18 08:26:14,0
Case No. 13,1,2018-05-18 08:42:49,1
Case No. 13,2,2018-05-18 08:50:23,1
Case No. 13,3,2018-05-18 09:23:40,1
Case No. 13,4,2018-05-18 09:35:47,2
Case No. 13,5,2018-05-18 09:49:49,4
Case No. 13,6,2018-05-18 09:57:26,0
Case No. 13,8,2018-05-18 10:00:28,0
Case No. 13,5,2018-05-18 10:15:39,2
Case No. 13,6,2018-05-18 10:31:10,1
Case No. 13,8,2018-05-18 10:47:49,1
Case No. 13,7,2018-05-18 10:50:39,0
Case No. 13,6,2018-05-18 10:53:04,2
Case No. 13,7,2018-05-18 10:59:15,2
Case No. 13,6,2018-05-18 11:23:19,3
Case No. 13,7,2018-05-18 11:51:34,0
Case No. 13,9,2018-05-18 11:53:02,2
Case No. 14,35,2018-05-18 04:37:02,1
Case No. 14,36,2018-05-18 04:40:08,1
Case No. 14,37,2018-05-18 04:51:13,1
Case No. 14,38,2018-05-18 04:56:08,0
Case No. 14,39,2018-05-18 05:06:20,1
Case No. 14,40,2018-05-18 05:34:20,4
Case No. 14,9,2018-05-18 05:55:53,1
Case No. 14,9,2018-05-18 06:02:32,4
