CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-04-19 15:46:19,0
Case No. 1,0,2018-04-19 15:46:19,0
Case No. 1,1,2018-04-19 15:49:12,0
Case No. 1,2,2018-04-19 16:07:02,1
Case No. 1,2,2018-04-19 16:18:40,0
Case No. 1,3,2018-04-19 16:24:30,0
Case No. 1,1,2018-04-19 17:23:23,0
Case No. 1,4,2018-04-19 17:23:33,0
Case No. 1,2,2018-04-19 17:33:11,0
Case No. 1,5,2018-04-19 17:33:20,2
Case No. 1,6,2018-04-19 17:36:47,0
Case No. 1,6,2018-04-19 17:43:04,0
Case No. 1,7,2018-04-19 19:02:11,0
Case No. 1,8,2018-04-19 19:22:31,1
Case No. 1,2,2018-04-19 19:30:02,1
Case No. 1,4,2018-04-19 19:31:08,0
Case No. 2,0,2018-04-19 17:09:08,0
Case No. 2,2,2018-04-19 17:14:26,0
Case No. 2,2,2018-04-19 17:17:28,0
Case No. 2,3,2018-04-19 17:19:33,1
Case No. 2,4,2018-04-19 17:59:02,2
Case No. 2,5,2018-04-19 18:10:53,2
Case No. 2,1,2018-04-19 18:20:12,2
Case No. 2,6,2018-04-19 18:20:43,0
Case No. 2,1,2018-04-19 18:34:30,1
Case No. 2,1,2018-04-19 18:34:36,1
Case No. 2,8,2018-04-19 18:48:27,0
Case No. 2,2,2018-04-19 19:21:00,2
Case No. 2,2,2018-04-19 19:27:51,2
Case No. 2,5,2018-04-19 19:28:43,0
Case No. 2,7,2018-04-19 19:33:37,0
Case No. 3,0,2018-04-19 15:51:31,0
Case No. 3,3,2018-04-19 15:55:07,0
Case No. 3,5,2018-04-19 16:12:18,0
Case No. 3,2,2018-04-19 16:14:11,0
Case No. 3,5,2018-04-19 16:17:11,0
Case No. 3,4,2018-04-19 16:27:11,0
Case No. 3,1,2018-04-19 16:30:45,0
Case No. 3,6,2018-04-19 16:45:19,0
Case No. 3,2,2018-04-19 17:06:34,1
Case No. 3,5,2018-04-19 17:40:13,2
Case No. 3,2,2018-04-19 17:56:13,0
Case No. 3,6,2018-04-19 18:11:15,0
Case No. 3,8,2018-04-19 18:12:15,0
Case No. 3,2,2018-04-19 18:51:07,3
Case No. 3,7,2018-04-19 19:34:40,0
Case No. 4,0,2018-04-19 19:45:17,0
