CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-05-13 22:10:03,0
Case No. 1,0,2018-05-13 22:10:03,0
Case No. 1,1,2018-05-13 22:56:38,0
Case No. 1,2,2018-05-13 23:08:38,0
Case No. 1,3,2018-05-13 23:15:59,0
Case No. 1,4,2018-05-13 23:17:29,0
Case No. 1,5,2018-05-13 23:34:40,0
Case No. 1,6,2018-05-13 23:48:41,0
Case No. 1,7,2018-05-13 23:57:55,0
Case No. 1,8,2018-05-14 00:53:43,0
Case No. 1,9,2018-05-14 01:11:38,0
Case No. 1,6,2018-05-14 01:12:53,1
Case No. 1,8,2018-05-14 01:13:54,2
Case No. 1,7,2018-05-14 01:53:17,0
Case No. 2,0,2018-05-13 22:15:45,0
Case No. 2,1,2018-05-13 22:17:18,0
Case No. 2,2,2018-05-13 22:17:41,0
Case No. 2,3,2018-05-13 22:31:03,0
Case No. 2,4,2018-05-13 22:31:18,0
Case No. 2,5,2018-05-13 22:35:15,0
Case No. 2,7,2018-05-13 23:19:54,0
Case No. 2,8,2018-05-14 00:02:22,0
Case No. 2,6,2018-05-14 00:13:28,0
Case No. 2,9,2018-05-14 00:25:14,0
Case No. 2,6,2018-05-14 01:10:40,1
Case No. 2,8,2018-05-14 01:16:06,0
Case No. 2,7,2018-05-14 01:55:37,0
Case No. 3,0,2018-05-14 02:05:19,0
Case No. 3,1,2018-05-14 02:38:43,0
Case No. 3,2,2018-05-14 02:48:20,0
Case No. 3,3,2018-05-14 02:52:11,0
Case No. 3,4,2018-05-14 03:01:01,0
Case No. 3,5,2018-05-14 03:04:03,0
Case No. 3,6,2018-05-14 03:17:17,0
Case No. 3,7,2018-05-14 03:38:26,0
Case No. 3,8,2018-05-14 03:39:15,0
Case No. 3,9,2018-05-14 04:18:22,0
Case No. 3,7,2018-05-14 04:40:32,0
Case No. 3,8,2018-05-14 05:38:46,0
Case No. 3,8,2018-05-14 05:49:46,3
Case No. 4,0,2018-05-14 02:12:59,0
Case No. 4,1,2018-05-14 02:21:59,0
Case No. 4,2,2018-05-14 02:40:26,0
Case No. 4,3,2018-05-14 02:53:37,0
Case No. 4,4,2018-05-14 03:10:39,0
Case No. 4,5,2018-05-14 03:52:58,0
Case No. 4,7,2018-05-14 04:01:05,0
Case No. 4,8,2018-05-14 04:11:28,0
Case No. 4,6,2018-05-14 04:14:47,0
Case No. 4,9,2018-05-14 04:36:33,0
Case No. 4,7,2018-05-14 04:50:41,0
Case No. 4,8,2018-05-14 05:44:00,0
Case No. 4,8,2018-05-14 05:51:12,0
Case No. 5,0,2018-05-14 06:11:13,0
Case No. 5,1,2018-05-14 06:51:02,0
Case No. 5,2,2018-05-14 07:00:53,0
Case No. 5,3,2018-05-14 07:15:24,0
Case No. 5,4,2018-05-14 07:25:32,0
Case No. 5,5,2018-05-14 08:12:27,0
Case No. 5,6,2018-05-14 08:14:00,0
Case No. 5,7,2018-05-14 08:23:17,0
Case No. 5,8,2018-05-14 08:46:15,0
Case No. 5,9,2018-05-14 08:50:41,0
Case No. 5,8,2018-05-14 09:27:07,1
Case No. 5,8,2018-05-14 09:35:55,0
Case No. 5,8,2018-05-14 09:46:35,3
Case No. 6,0,2018-05-13 22:05:55,0
Case No. 6,1,2018-05-13 22:17:29,0
Case No. 6,2,2018-05-13 22:26:10,0
