CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-04-25 20:20:10,0
Case No. 1,0,2018-04-25 20:20:10,0
Case No. 1,1,2018-04-25 21:19:22,1
Case No. 1,2,2018-04-25 21:39:27,1
Case No. 1,3,2018-04-25 22:07:04,1
Case No. 1,4,2018-04-25 22:16:31,1
Case No. 1,5,2018-04-25 22:28:20,0
Case No. 1,6,2018-04-25 22:52:22,0
Case No. 1,5,2018-04-25 23:55:49,0
Case No. 1,7,2018-04-26 00:03:54,0
Case No. 1,8,2018-04-26 00:04:29,0
Case No. 2,0,2018-04-25 20:36:52,2
Case No. 2,6,2018-04-25 21:19:42,1
Case No. 2,2,2018-04-25 21:39:02,1
Case No. 2,3,2018-04-25 22:20:40,1
Case No. 2,4,2018-04-25 22:22:42,1
Case No. 2,8,2018-04-25 22:32:36,0
Case No. 2,7,2018-04-25 23:33:43,0
Case No. 2,5,2018-04-25 23:36:42,3
Case No. 2,7,2018-04-25 23:50:59,1
Case No. 2,4,2018-04-26 00:14:59,4
Case No. 3,0,2018-04-25 21:01:54,4
Case No. 3,2,2018-04-25 21:04:05,2
Case No. 3,3,2018-04-25 21:15:16,2
Case No. 3,6,2018-04-25 21:47:37,2
Case No. 3,4,2018-04-25 21:49:12,2
Case No. 3,5,2018-04-25 22:13:14,3
Case No. 3,7,2018-04-25 22:59:29,3
Case No. 3,6,2018-04-25 23:22:10,2
Case No. 3,8,2018-04-25 23:27:55,1
Case No. 3,4,2018-04-26 00:11:49,3
Case No. 4,0,2018-04-26 00:28:03,4
Case No. 4,2,2018-04-26 00:48:13,4
Case No. 4,3,2018-04-26 00:55:49,1
Case No. 4,7,2018-04-26 01:27:14,0
Case No. 4,4,2018-04-26 01:36:03,4
Case No. 4,1,2018-04-26 01:57:11,4
Case No. 4,6,2018-04-26 02:24:37,4
Case No. 4,1,2018-04-26 02:34:27,4
Case No. 4,6,2018-04-26 03:33:35,4
Case No. 4,8,2018-04-26 03:41:08,4
Case No. 5,0,2018-04-26 00:29:15,2
