CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-05-18 04:44:46,0
Case No. 1,0,2018-05-18 04:44:46,0
Case No. 1,1,2018-05-18 04:55:42,0
Case No. 1,2,2018-05-18 04:57:43,0
Case No. 1,3,2018-05-18 05:12:07,0
Case No. 1,4,2018-05-18 05:14:56,0
Case No. 1,5,2018-05-18 05:23:22,0
Case No. 1,6,2018-05-18 05:30:47,1
Case No. 1,6,2018-05-18 05:33:17,2
Case No. 1,6,2018-05-18 05:48:40,1
Case No. 1,6,2018-05-18 06:29:19,0
Case No. 1,6,2018-05-18 06:49:34,0
Case No. 1,6,2018-05-18 06:51:28,1
Case No. 1,6,2018-05-18 06:58:44,0
Case No. 1,7,2018-05-18 07:03:20,0
Case No. 1,8,2018-05-18 07:07:02,0
Case No. 2,0,2018-05-18 04:52:52,0
Case No. 2,1,2018-05-18 05:03:40,0
Case No. 2,2,2018-05-18 05:45:56,0
Case No. 2,3,2018-05-18 06:08:30,2
Case No. 2,4,2018-05-18 06:24:43,0
Case No. 2,5,2018-05-18 06:38:29,0
Case No. 2,6,2018-05-18 06:40:47,0
Case No. 2,6,2018-05-18 06:58:28,0
Case No. 2,7,2018-05-18 07:03:28,0
Case No. 2,8,2018-05-18 07:07:14,0
Case No. 2,7,2018-05-18 07:10:18,1
Case No. 2,8,2018-05-18 07:33:10,0
Case No. 3,9,2018-05-18 04:34:52,0
Case No. 3,10,2018-05-18 05:08:35,0
Case No. 3,11,2018-05-18 05:10:06,0
Case No. 3,12,2018-05-18 05:34:40,0
Case No. 3,13,2018-05-18 05:51:26,0
Case No. 3,14,2018-05-18 05:55:14,0
Case No. 3,15,2018-05-18 05:59:24,2
Case No. 3,15,2018-05-18 06:09:56,1
Case No. 3,15,2018-05-18 06:27:48,0
Case No. 3,15,2018-05-18 06:53:10,2
Case No. 3,15,2018-05-18 06:59:56,3
Case No. 3,15,2018-05-18 07:42:07,1
Case No. 3,15,2018-05-18 07:52:41,0
Case No. 3,16,2018-05-18 07:53:16,0
Case No. 4,9,2018-05-18 04:26:33,0
Case No. 4,10,2018-05-18 04:47:14,0
Case No. 4,11,2018-05-18 05:00:57,0
Case No. 4,12,2018-05-18 05:24:35,0
Case No. 4,13,2018-05-18 05:29:49,0
Case No. 4,14,2018-05-18 05:48:27,0
Case No. 4,15,2018-05-18 06:16:02,0
Case No. 4,7,2018-05-18 06:35:34,0
Case No. 4,15,2018-05-18 06:54:17,0
Case No. 4,8,2018-05-18 07:06:27,0
Case No. 4,7,2018-05-18 07:21:00,1
Case No. 4,8,2018-05-18 07:25:41,0
Case No. 5,17,2018-05-18 04:05:17,0
Case No. 5,18,2018-05-18 04:09:02,0
Case No. 5,19,2018-05-18 04:21:46,0
Case No. 5,20,2018-05-18 05:01:55,0
Case No. 5,21,2018-05-18 05:45:09,0
Case No. 5,22,2018-05-18 05:48:52,0
Case No. 5,23,2018-05-18 06:14:05,0
Case No. 5,23,2018-05-18 06:15:30,1
Case No. 5,23,2018-05-18 06:20:04,3
Case No. 5,23,2018-05-18 06:26:51,0
Case No. 5,23,2018-05-18 06:58:56,2
Case No. 5,23,2018-05-18 07:25:44,2
Case No. 5,24,2018-05-18 07:51:59,0
Case No. 6,0,2018-05-18 04:04:24,0
Case No. 6,1,2018-05-18 04:14:27,0
Case No. 6,2,2018-05-18 05:02:33,0
Case No. 6,3,2018-05-18 05:03:24,2
Case No. 6,4,2018-05-18 05:04:24,0
Case No. 6,5,2018-05-18 05:15:29,0
Case No. 6,6,2018-05-18 06:28:27,0
Case No. 6,6,2018-05-18 06:33:24,0
Case No. 6,7,2018-05-18 06:54:14,0
Case No. 6,8,2018-05-18 07:18:49,0
Case No. 6,7,2018-05-18 07:31:53,4
Case No. 6,8,2018-05-18 07:38:36,3
Case No. 7,25,2018-05-18 04:23:14,0
Case No. 7,26,2018-05-18 04:38:53,0
Case No. 7,27,2018-05-18 04:49:52,0
Case No. 7,28,2018-05-18 05:00:57,0
Case No. 7,29,2018-05-18 05:01:43,0
Case No. 7,30,2018-05-18 05:08:15,0
Case No. 7,31,2018-05-18 05:13:45,1
Case No. 7,31,2018-05-18 05:41:13,1
Case No. 7,31,2018-05-18 05:52:43,1
Case No. 7,31,2018-05-18 06:03:56,0
Case No. 7,31,2018-05-18 06:11:06,0
Case No. 7,32,2018-05-18 06:13:30,0
Case No. 8,17,2018-05-18 04:05:07,0
Case No. 8,18,2018-05-18 04:16:24,0
Case No. 8,19,2018-05-18 04:17:01,0
Case No. 8,20,2018-05-18 04:23:37,0
Case No. 8,21,2018-05-18 04:37:49,0
Case No. 8,22,2018-05-18 04:42:28,0
Case No. 8,23,2018-05-18 05:04:29,0
Case No. 8,23,2018-05-18 05:42:53,0
Case No. 8,23,2018-05-18 05:47:47,0
Case No. 8,8,2018-05-18 06:06:59,0
Case No. 8,7,2018-05-18 06:08:38,1
Case No. 8,8,2018-05-18 07:10:49,0
Case No. 9,0,2018-05-18 04:21:55,0
Case No. 9,1,2018-05-18 04:23:40,2
Case No. 9,1,2018-05-18 04:33:58,2
Case No. 9,3,2018-05-18 04:41:28,2
Case No. 9,33,2018-05-18 04:46:48,2
Case No. 9,2,2018-05-18 05:06:31,0
Case No. 9,33,2018-05-18 05:46:12,0
Case No. 9,2,2018-05-18 06:01:00,0
Case No. 9,6,2018-05-18 06:06:18,0
Case No. 9,4,2018-05-18 06:17:53,0
Case No. 9,5,2018-05-18 06:54:49,4
Case No. 9,7,2018-05-18 07:21:28,0
Case No. 10,9,2018-05-18 04:04:33,0
Case No. 10,10,2018-05-18 04:12:22,0
Case No. 10,11,2018-05-18 04:25:35,0
Case No. 10,12,2018-05-18 04:38:13,3
Case No. 10,13,2018-05-18 04:49:16,0
Case No. 10,14,2018-05-18 05:26:42,0
Case No. 10,15,2018-05-18 05:30:47,0
Case No. 10,7,2018-05-18 05:56:01,0
Case No. 10,15,2018-05-18 05:57:31,0
Case No. 10,8,2018-05-18 06:04:01,0
Case No. 10,7,2018-05-18 06:16:29,4
Case No. 10,8,2018-05-18 07:44:50,3
Case No. 11,34,2018-05-18 04:00:07,0
Case No. 11,35,2018-05-18 04:09:46,0
Case No. 11,36,2018-05-18 04:14:16,0
Case No. 11,37,2018-05-18 04:19:58,0
Case No. 11,38,2018-05-18 04:39:18,0
